cv volume value,ecmop1,ppcw,ppadia,ppaavg,pcv,ppasys,paodia,ecmop2,ecmop3,paoavg,cor,col
200.0,-26.0,0.1681,0.1179,0.1756,1.0909,0.2529,37.2282,118.0,95.2,37.6822,0.0137,0.0137
204.8048,-25.968,0.1699,0.1185,0.18,1.14,0.2683,37.4724,118.2322,95.4322,37.9604,0.0196,0.0126
209.6096,-25.9359,0.1716,0.1191,0.1845,1.1892,0.2837,37.7166,118.4645,95.6645,38.2387,0.0255,0.0115
214.4144,-25.9039,0.1734,0.1196,0.1889,1.2383,0.2991,37.9608,118.6967,95.8967,38.5169,0.0314,0.0104
219.2192,-25.8719,0.1752,0.1202,0.1933,1.2875,0.3145,38.205,118.9289,96.1289,38.7951,0.0372,0.0093
224.024,-25.8398,0.1769,0.1208,0.1977,1.3366,0.3299,38.4493,119.1612,96.3612,39.0734,0.0431,0.0082
228.8288,-25.8078,0.1787,0.1214,0.2021,1.3858,0.3453,38.6935,119.3934,96.5934,39.3516,0.049,0.0071
233.6336,-25.7758,0.1804,0.1219,0.2065,1.4349,0.3607,38.9377,119.6256,96.8256,39.6298,0.0549,0.006
238.4384,-25.7437,0.1822,0.1225,0.2109,1.4841,0.3761,39.1819,119.8579,97.0579,39.908,0.0607,0.0049
243.2432,-25.7117,0.184,0.1231,0.2153,1.5332,0.3915,39.4261,120.0901,97.2901,40.1863,0.0666,0.0038
248.048,-25.6797,0.1857,0.1236,0.2197,1.5824,0.4069,39.6703,120.3223,97.5223,40.4645,0.0725,0.0027
252.8529,-25.6476,0.1875,0.1242,0.2241,1.6315,0.4223,39.9145,120.5546,97.7546,40.7427,0.0784,0.0016
257.6577,-25.6156,0.1892,0.1248,0.2285,1.6806,0.4377,40.1588,120.7868,97.9868,41.021,0.0842,0.0005
262.4625,-25.5692,0.2166,0.1524,0.273,1.6963,0.5687,40.84,121.4356,98.6541,41.7924,0.1153,0.0336
267.2673,-25.5092,0.2682,0.2059,0.3557,1.68,0.8098,41.9371,122.4806,99.7351,43.0329,0.1704,0.0991
272.0721,-25.4491,0.3199,0.2593,0.4383,1.6637,1.0509,43.0341,123.5257,100.8162,44.2735,0.2255,0.1647
276.8769,-25.389,0.3716,0.3127,0.521,1.6475,1.292,44.1311,124.5707,101.8973,45.5141,0.2806,0.2303
281.6817,-25.329,0.4233,0.3661,0.6037,1.6312,1.533,45.2281,125.6158,102.9784,46.7546,0.3357,0.2958
286.4865,-25.2689,0.475,0.4196,0.6864,1.615,1.7741,46.3251,126.6608,104.0595,47.9952,0.3908,0.3614
291.2913,-25.2089,0.5266,0.473,0.7691,1.5987,2.0152,47.4221,127.7059,105.1405,49.2357,0.4459,0.4269
296.0961,-25.1488,0.5783,0.5264,0.8517,1.5824,2.2563,48.5191,128.7509,106.2216,50.4763,0.501,0.4925
300.9009,-25.0955,0.6256,0.5751,0.928,1.5731,2.4805,49.4826,129.6811,107.1811,51.5822,0.5526,0.5526
305.7057,-25.0715,0.6537,0.6032,0.9762,1.5941,2.6316,49.8672,130.1135,107.6135,52.1048,0.5894,0.5894
310.5105,-25.0474,0.6818,0.6314,1.0244,1.615,2.7827,50.2518,130.5459,108.0459,52.6273,0.6261,0.6261
315.3153,-25.0234,0.7099,0.6595,1.0726,1.6359,2.9339,50.6364,130.9784,108.4784,53.1498,0.6629,0.6629
320.1201,-24.9992,0.738,0.6877,1.1208,1.6569,3.0849,51.0209,131.4108,108.9111,53.6721,0.6996,0.6996
324.9249,-24.9692,0.767,0.7163,1.1692,1.6779,3.2326,51.4,131.8432,109.3556,54.183,0.735,0.735
329.7297,-24.9392,0.7961,0.7449,1.2176,1.699,3.3804,51.7791,132.2757,109.8,54.694,0.7703,0.7703
334.5345,-24.9092,0.8252,0.7735,1.266,1.72,3.5281,52.1583,132.7081,110.2444,55.2049,0.8057,0.8057
339.3393,-24.8791,0.8542,0.8021,1.3144,1.7411,3.6758,52.5374,133.1405,110.6889,55.7159,0.8411,0.8411
344.1441,-24.8491,0.8833,0.8307,1.3629,1.7621,3.8235,52.9165,133.573,111.1333,56.2268,0.8765,0.8765
348.9489,-24.8191,0.9124,0.8593,1.4113,1.7831,3.9712,53.2956,134.0054,111.5778,56.7378,0.9118,0.9118
353.7538,-24.789,0.9414,0.8879,1.4597,1.8042,4.1189,53.6747,134.4378,112.0222,57.2487,0.9472,0.9472
358.5586,-24.759,0.9705,0.9165,1.5081,1.8252,4.2666,54.0538,134.8703,112.4667,57.7597,0.9826,0.9826
363.3634,-24.729,0.9995,0.9451,1.5565,1.8463,4.4143,54.4329,135.3027,112.9111,58.2706,1.0179,1.0179
368.1682,-24.6989,1.0286,0.9737,1.605,1.8673,4.562,54.812,135.7351,113.3556,58.7816,1.0533,1.0533
372.973,-24.6689,1.0577,1.0023,1.6534,1.8884,4.7097,55.1911,136.1676,113.8,59.2925,1.0887,1.0887
377.7778,-24.6389,1.0867,1.0309,1.7018,1.9094,4.8574,55.5703,136.6,114.2444,59.8035,1.1241,1.1241
382.5826,-24.6089,1.1158,1.0595,1.7502,1.9305,5.0051,55.9494,137.0324,114.6889,60.3144,1.1594,1.1594
387.3874,-24.5788,1.1449,1.0881,1.7986,1.9515,5.1528,56.3285,137.4649,115.1333,60.8254,1.1948,1.1948
392.1922,-24.5488,1.1739,1.1167,1.847,1.9726,5.3005,56.7076,137.8973,115.5778,61.3363,1.2302,1.2302
396.997,-24.5188,1.203,1.1453,1.8955,1.9936,5.4482,57.0867,138.3297,116.0222,61.8473,1.2656,1.2656
401.8018,-24.482,1.2332,1.1751,1.9447,2.0146,5.5952,57.457,138.7441,116.4486,62.3468,1.3003,1.3003
406.6066,-24.4339,1.2655,1.2067,1.9954,2.0354,5.7411,57.8126,139.1285,116.845,62.8271,1.334,1.334
411.4114,-24.3859,1.2977,1.2384,2.0461,2.0562,5.8869,58.1682,139.5129,117.2414,63.3075,1.3677,1.3677
416.2162,-24.3378,1.33,1.27,2.0968,2.077,6.0327,58.5238,139.8973,117.6378,63.7879,1.4013,1.4013
421.021,-24.2898,1.3622,1.3017,2.1474,2.0978,6.1786,58.8795,140.2817,118.0342,64.2683,1.435,1.435
425.8258,-24.2417,1.3945,1.3333,2.1981,2.1186,6.3244,59.2351,140.6661,118.4306,64.7487,1.4687,1.4687
430.6306,-24.1937,1.4267,1.365,2.2488,2.1394,6.4702,59.5907,141.0505,118.827,65.2291,1.5023,1.5023
435.4354,-24.1456,1.459,1.3966,2.2995,2.1602,6.6161,59.9463,141.4348,119.2234,65.7095,1.536,1.536
440.2402,-24.0984,1.4914,1.4285,2.3502,2.181,6.7618,60.301,141.818,119.6192,66.1886,1.5696,1.5696
445.045,-24.0664,1.5271,1.4635,2.4033,2.2016,6.905,60.6382,142.1784,120.0036,66.6426,1.6013,1.6013
449.8498,-24.0343,1.5628,1.4985,2.4563,2.2221,7.0482,60.9754,142.5387,120.388,67.0966,1.6329,1.6329
454.6547,-24.0023,1.5985,1.5336,2.5093,2.2427,7.1915,61.3126,142.8991,120.7724,67.5506,1.6646,1.6646
459.4595,-23.9703,1.6342,1.5686,2.5624,2.2632,7.3347,61.6499,143.2595,121.1568,68.0046,1.6963,1.6963
464.2643,-23.9382,1.6699,1.6036,2.6154,2.2837,7.478,61.9871,143.6198,121.5411,68.4587,1.7279,1.7279
469.0691,-23.9062,1.7056,1.6387,2.6684,2.3043,7.6212,62.3243,143.9802,121.9255,68.9127,1.7596,1.7596
473.8739,-23.8742,1.7413,1.6737,2.7214,2.3248,7.7644,62.6615,144.3405,122.3099,69.3667,1.7913,1.7913
478.6787,-23.8421,1.777,1.7087,2.7745,2.3454,7.9077,62.9987,144.7009,122.6943,69.8207,1.8229,1.8229
483.4835,-23.8101,1.8127,1.7438,2.8275,2.3659,8.0509,63.3359,145.0613,123.0787,70.2747,1.8546,1.8546
488.2883,-23.7781,1.8484,1.7788,2.8805,2.3864,8.1942,63.6731,145.4216,123.4631,70.7288,1.8863,1.8863
493.0931,-23.746,1.8841,1.8138,2.9335,2.407,8.3374,64.0104,145.782,123.8474,71.1828,1.9179,1.9179
497.8979,-23.714,1.9198,1.8489,2.9866,2.4275,8.4806,64.3476,146.1423,124.2318,71.6368,1.9496,1.9496
502.7027,-23.6831,1.9588,1.8872,3.042,2.4478,8.6219,64.6666,146.4926,124.5926,72.0669,1.9795,1.9795
507.5075,-23.6531,2.0005,1.9281,3.0992,2.4678,8.7616,64.9715,146.8349,124.9349,72.4785,2.008,2.008
512.3123,-23.623,2.0421,1.969,3.1564,2.4878,8.9012,65.2764,147.1773,125.2773,72.89,2.0366,2.0366
517.1171,-23.593,2.0837,2.0099,3.2136,2.5079,9.0409,65.5813,147.5196,125.6196,73.3015,2.0651,2.0651
521.9219,-23.563,2.1253,2.0507,3.2709,2.5279,9.1806,65.8862,147.8619,125.9619,73.7131,2.0936,2.0936
526.7267,-23.533,2.1669,2.0916,3.3281,2.5479,9.3203,66.1911,148.2043,126.3043,74.1246,2.1221,2.1221
531.5315,-23.5029,2.2085,2.1325,3.3853,2.5679,9.46,66.496,148.5466,126.6466,74.5361,2.1507,2.1507
536.3363,-23.4729,2.2501,2.1734,3.4425,2.588,9.5997,66.8009,148.889,126.989,74.9476,2.1792,2.1792
541.1411,-23.4429,2.2918,2.2143,3.4997,2.608,9.7393,67.1059,149.2313,127.3313,75.3592,2.2077,2.2077
545.9459,-23.4128,2.3334,2.2552,3.557,2.628,9.879,67.4108,149.5736,127.6736,75.7707,2.2362,2.2362
550.7508,-23.3828,2.375,2.296,3.6142,2.6481,10.0187,67.7157,149.916,128.016,76.1822,2.2648,2.2648
555.5556,-23.3528,2.4166,2.3369,3.6714,2.6681,10.1584,68.0206,150.2583,128.3583,76.5938,2.2933,2.2933
560.3604,-23.3227,2.4582,2.3778,3.7286,2.6881,10.2981,68.3255,150.6007,128.7007,77.0053,2.3218,2.3218
565.1652,-23.2927,2.4998,2.4187,3.7859,2.7081,10.4377,68.6304,150.943,129.043,77.4168,2.3504,2.3504
569.97,-23.2627,2.5414,2.4596,3.8431,2.7282,10.5774,68.9353,151.2854,129.3854,77.8284,2.3789,2.3789
574.7748,-23.2327,2.583,2.5005,3.9003,2.7482,10.7171,69.2402,151.6277,129.7277,78.2399,2.4074,2.4074
579.5796,-23.2026,2.6247,2.5413,3.9575,2.7682,10.8568,69.5451,151.97,130.07,78.6514,2.4359,2.4359
584.3844,-23.1781,2.6706,2.5866,4.0179,2.7879,10.9939,69.8327,152.285,130.4069,79.0354,2.4622,2.4622
589.1892,-23.1541,2.717,2.6322,4.0785,2.8074,11.1307,70.1186,152.5973,130.7432,79.4167,2.4883,2.4883
593.994,-23.13,2.7634,2.6779,4.1392,2.827,11.2675,70.4045,152.9096,131.0796,79.7981,2.5143,2.5143
598.7988,-23.106,2.8098,2.7235,4.1999,2.8466,11.4044,70.6905,153.2219,131.4159,80.1794,2.5404,2.5404
603.6036,-23.064,2.8579,2.7708,4.2618,2.866,11.5409,70.9684,153.5342,131.7523,80.5502,2.5658,2.5658
608.4084,-23.0159,2.9065,2.8187,4.3242,2.8854,11.6773,71.2438,153.8465,132.0886,80.9175,2.591,2.591
613.2132,-22.9679,2.9551,2.8665,4.3866,2.9047,11.8137,71.5191,154.1589,132.4249,81.2848,2.6161,2.6161
618.018,-22.9198,3.0037,2.9144,4.4489,2.9241,11.9501,71.7944,154.4712,132.7613,81.6521,2.6413,2.6413
622.8228,-22.8859,3.0556,2.9656,4.5139,2.9431,12.0855,72.0545,154.7623,133.0658,81.9995,2.6651,2.6651
627.6276,-22.8619,3.1098,3.0191,4.5806,2.9619,12.2203,72.3037,155.0386,133.3481,82.333,2.688,2.688
632.4324,-22.8378,3.1641,3.0726,4.6474,2.9807,12.3551,72.553,155.3149,133.6304,82.6665,2.7108,2.7108
637.2372,-22.8138,3.2183,3.1262,4.7141,2.9995,12.4899,72.8023,155.5911,133.9127,83.0,2.7337,2.7337
642.042,-22.7898,3.2726,3.1797,4.7808,3.0183,12.6247,73.0515,155.8674,134.195,83.3336,2.7565,2.7565
646.8468,-22.7658,3.3268,3.2332,4.8476,3.0371,12.7595,73.3008,156.1437,134.4773,83.6671,2.7794,2.7794
651.6517,-22.7417,3.3811,3.2867,4.9143,3.0558,12.8943,73.5501,156.42,134.7595,84.0006,2.8022,2.8022
656.4565,-22.7177,3.4353,3.3403,4.9811,3.0746,13.0291,73.7993,156.6962,135.0418,84.3341,2.8251,2.8251
661.2613,-22.6937,3.4895,3.3938,5.0478,3.0934,13.1639,74.0486,156.9725,135.3241,84.6676,2.8479,2.8479
666.0661,-22.6697,3.5438,3.4473,5.1146,3.1122,13.2987,74.2979,157.2488,135.6064,85.0011,2.8708,2.8708
670.8709,-22.6456,3.598,3.5008,5.1813,3.131,13.4335,74.5471,157.5251,135.8887,85.3346,2.8936,2.8936
675.6757,-22.6216,3.6523,3.5544,5.2481,3.1498,13.5683,74.7964,157.8014,136.1709,85.6681,2.9164,2.9164
680.4805,-22.5976,3.7065,3.6079,5.3148,3.1686,13.7031,75.0457,158.0776,136.4532,86.0016,2.9393,2.9393
685.2853,-22.5736,3.7608,3.6614,5.3816,3.1873,13.8379,75.2949,158.3539,136.7355,86.3351,2.9621,2.9621
690.0901,-22.5495,3.815,3.715,5.4483,3.2061,13.9727,75.5442,158.6302,137.0178,86.6687,2.985,2.985
694.8949,-22.5255,3.8693,3.7685,5.515,3.2249,14.1075,75.7935,158.9065,137.3001,87.0022,3.0078,3.0078
699.6997,-22.5015,3.9235,3.822,5.5818,3.2437,14.2423,76.0427,159.1827,137.5824,87.3357,3.0307,3.0307
704.5045,-22.4775,3.9842,3.882,5.6536,3.2619,14.3754,76.2656,159.4365,137.8365,87.6333,3.0509,3.0509
709.3093,-22.4535,4.0453,3.9425,5.7257,3.28,14.5084,76.4868,159.6887,138.0887,87.9286,3.071,3.071
714.1141,-22.4294,4.1064,4.003,5.7978,3.2981,14.6414,76.7079,159.941,138.341,88.2239,3.0911,3.0911
718.9189,-22.4054,4.1675,4.0635,5.8699,3.3162,14.7744,76.929,160.1932,138.5932,88.5192,3.1112,3.1112
723.7237,-22.3814,4.2286,4.1239,5.942,3.3343,14.9074,77.1502,160.4455,138.8455,88.8144,3.1313,3.1313
728.5285,-22.3574,4.2897,4.1844,6.0141,3.3524,15.0404,77.3713,160.6977,139.0977,89.1097,3.1514,3.1514
733.3333,-22.3333,4.3509,4.2449,6.0862,3.3705,15.1734,77.5925,160.95,139.35,89.405,3.1715,3.1715
738.1381,-22.3093,4.412,4.3053,6.1583,3.3886,15.3064,77.8136,161.2023,139.6023,89.7003,3.1916,3.1916
742.9429,-22.2853,4.4765,4.3693,6.2331,3.4064,15.4386,78.0208,161.4373,139.8422,89.9771,3.2104,3.2104
747.7477,-22.2613,4.5432,4.4354,6.3096,3.4241,15.5702,78.2191,161.6616,140.0745,90.2422,3.2283,3.2283
752.5526,-22.2372,4.6098,4.5015,6.3861,3.4417,15.7019,78.4175,161.8858,140.3067,90.5074,3.2463,3.2463
757.3574,-22.2132,4.6765,4.5676,6.4626,3.4593,15.8336,78.6159,162.11,140.5389,90.7725,3.2643,3.2643
762.1622,-22.1892,4.7432,4.6338,6.5391,3.4769,15.9652,78.8142,162.3342,140.7712,91.0377,3.2823,3.2823
766.967,-22.1652,4.8099,4.6999,6.6156,3.4945,16.0969,79.0126,162.5585,141.0034,91.3028,3.3003,3.3003
771.7718,-22.1411,4.8765,4.766,6.6922,3.5121,16.2286,79.211,162.7827,141.2356,91.5679,3.3182,3.3182
776.5766,-22.1171,4.9432,4.8322,6.7687,3.5297,16.3602,79.4093,163.0069,141.4679,91.8331,3.3362,3.3362
781.3814,-22.0931,5.0099,4.8983,6.8452,3.5473,16.4919,79.6077,163.2311,141.7001,92.0982,3.3542,3.3542
786.1862,-22.0691,5.0765,4.9644,6.9217,3.565,16.6236,79.806,163.4554,141.9323,92.3634,3.3722,3.3722
790.991,-22.045,5.1432,5.0306,6.9982,3.5826,16.7552,80.0044,163.6796,142.1646,92.6285,3.3902,3.3902
795.7958,-22.021,5.2099,5.0967,7.0747,3.6002,16.8869,80.2028,163.9038,142.3968,92.8937,3.4081,3.4081
800.6006,-21.997,5.2773,5.1636,7.1518,3.6177,17.0184,80.3984,164.124,142.625,93.1548,3.4258,3.4258
805.4054,-21.973,5.3502,5.2361,7.2333,3.6348,17.1487,80.5748,164.3162,142.8252,93.3876,3.4415,3.4415
810.2102,-21.9489,5.4231,5.3086,7.3147,3.6519,17.2789,80.7513,164.5084,143.0254,93.6204,3.4572,3.4572
815.015,-21.9249,5.4959,5.381,7.3962,3.6691,17.4092,80.9278,164.7006,143.2256,93.8532,3.4729,3.4729
819.8198,-21.9009,5.5688,5.4535,7.4776,3.6862,17.5395,81.1042,164.8928,143.4258,94.086,3.4886,3.4886
824.6246,-21.8769,5.6416,5.526,7.559,3.7033,17.6697,81.2807,165.085,143.626,94.3188,3.5042,3.5042
829.4294,-21.8529,5.7145,5.5984,7.6405,3.7204,17.8,81.4571,165.2772,143.8262,94.5516,3.5199,3.5199
834.2342,-21.8288,5.7873,5.6709,7.7219,3.7375,17.9302,81.6336,165.4694,144.0264,94.7844,3.5356,3.5356
839.039,-21.8048,5.8602,5.7434,7.8034,3.7546,18.0605,81.8101,165.6616,144.2266,95.0172,3.5513,3.5513
843.8438,-21.7808,5.9331,5.8158,7.8848,3.7717,18.1908,81.9865,165.8538,144.4268,95.25,3.567,3.567
848.6486,-21.7568,6.0059,5.8883,7.9662,3.7888,18.321,82.163,166.0459,144.627,95.4828,3.5827,3.5827
853.4535,-21.7327,6.0788,5.9608,8.0477,3.8059,18.4513,82.3394,166.2381,144.8272,95.7156,3.5983,3.5983
858.2583,-21.7087,6.1516,6.0333,8.1291,3.823,18.5816,82.5159,166.4303,145.0274,95.9484,3.614,3.614
863.0631,-21.6847,6.2274,6.1088,8.2129,3.8399,18.711,82.6801,166.6149,145.2149,96.1664,3.6286,3.6286
867.8679,-21.6607,6.3049,6.186,8.298,3.8567,18.84,82.8373,166.795,145.395,96.3761,3.6426,3.6426
872.6727,-21.6366,6.3823,6.2632,8.3831,3.8735,18.9691,82.9945,166.9752,145.5752,96.5857,3.6565,3.6566
877.4775,-21.6126,6.4598,6.3404,8.4682,3.8903,19.0981,83.1517,167.1554,145.7554,96.7954,3.6705,3.6705
882.2823,-21.5886,6.5372,6.4176,8.5532,3.907,19.2271,83.3089,167.3356,145.9356,97.0051,3.6844,3.6845
887.0871,-21.5646,6.6147,6.4949,8.6383,3.9238,19.3561,83.4661,167.5158,146.1158,97.2147,3.6984,3.6985
891.8919,-21.5405,6.6921,6.5721,8.7234,3.9406,19.4852,83.6233,167.6959,146.2959,97.4244,3.7124,3.7124
896.6967,-21.5165,6.7696,6.6493,8.8085,3.9574,19.6142,83.7804,167.8761,146.4761,97.634,3.7263,3.7264
901.5015,-21.4944,6.8485,6.728,8.8948,3.9741,19.7429,83.9324,168.0469,146.6488,97.8357,3.7397,3.7398
906.3063,-21.4764,6.9306,6.8101,8.9835,3.9907,19.8708,84.073,168.1971,146.805,98.0199,3.752,3.7521
911.1111,-21.4583,7.0126,6.8921,9.0723,4.0073,19.9987,84.2135,168.3472,146.9611,98.2041,3.7643,3.7644
915.9159,-21.4403,7.0947,6.9742,9.1611,4.0239,20.1266,84.354,168.4974,147.1173,98.3883,3.7766,3.7767
920.7207,-21.4223,7.1768,7.0562,9.2499,4.0404,20.2545,84.4945,168.6475,147.2734,98.5725,3.7889,3.7889
925.5255,-21.4043,7.2588,7.1383,9.3387,4.057,20.3824,84.6351,168.7977,147.4296,98.7567,3.8011,3.8012
930.3303,-21.3863,7.3409,7.2203,9.4275,4.0736,20.5103,84.7756,168.9478,147.5857,98.9409,3.8134,3.8135
935.1351,-21.3682,7.423,7.3023,9.5162,4.0902,20.6382,84.9161,169.098,147.7419,99.1251,3.8257,3.8257
939.9399,-21.3502,7.505,7.3844,9.605,4.1068,20.7661,85.0567,169.2481,147.898,99.3093,3.838,3.838
944.7447,-21.3322,7.5871,7.4664,9.6938,4.1234,20.894,85.1972,169.3983,148.0542,99.4935,3.8502,3.8503
949.5495,-21.3142,7.6691,7.5485,9.7826,4.14,21.0219,85.3377,169.5484,148.2104,99.6777,3.8625,3.8625
954.3544,-21.2962,7.7512,7.6305,9.8714,4.1566,21.1498,85.4782,169.6986,148.3665,99.8619,3.8748,3.8748
959.1592,-21.2782,7.8333,7.7125,9.9602,4.1731,21.2777,85.6188,169.8487,148.5227,100.0461,3.8871,3.8871
963.964,-21.2601,7.9153,7.7946,10.0489,4.1897,21.4056,85.7593,169.9989,148.6788,100.2303,3.8993,3.8994
968.7688,-21.2421,7.9974,7.8766,10.1377,4.2063,21.5335,85.8998,170.149,148.835,100.4145,3.9116,3.9116
973.5736,-21.2241,8.0795,7.9587,10.2265,4.2229,21.6614,86.0403,170.2992,148.9911,100.5987,3.9239,3.9239
978.3784,-21.2061,8.1615,8.0407,10.3153,4.2395,21.7893,86.1809,170.4493,149.1473,100.7829,3.9362,3.9362
