ecmo speed,ppadia,ppcw,ppaavg,ecmop2,ppasys,ecmop3,svl,col,svr,cor,caSys_pO2,cvSys_pO2,cvSys_O2sat,caSys_pCO2
0.6,13.269,13.3605,16.1511,75.7669,30.7192,76.2611,85.3311,5.1036,85.3265,5.1011,105.1689,39.2368,74.0122,34.5196
0.6061,13.2619,13.3714,16.1703,75.7931,30.7069,76.2628,85.335,5.0916,85.3362,5.1066,105.1558,39.2527,74.0323,34.4991
0.6122,13.2627,13.3692,16.1508,75.7826,30.6982,76.2819,85.3222,5.0905,85.3585,5.122,105.15,39.2396,74.0118,34.515
0.6183,13.2656,13.3748,16.1644,75.7978,30.7091,76.2592,85.3328,5.0921,85.3306,5.1124,105.1495,39.2599,74.019,34.5181
0.6244,13.2659,13.3768,16.1446,75.7898,30.7128,76.268,85.3283,5.0993,85.3508,5.0888,105.1568,39.2512,74.046,34.5121
0.6305,13.2541,13.3874,16.169,75.778,30.7059,76.2667,85.344,5.0953,85.3044,5.1073,105.1614,39.2603,74.0279,34.5209
0.6366,13.2665,13.3799,16.1878,75.7909,30.7256,76.2876,85.3374,5.1131,85.3373,5.1101,105.1552,39.2525,74.0258,34.5224
0.6427,13.2758,13.3808,16.1599,75.8043,30.7181,76.282,85.3378,5.1136,85.3239,5.1024,105.1635,39.2531,74.031,34.515
0.6488,13.2499,13.3705,16.1638,75.7919,30.7189,76.2608,85.3248,5.1188,85.3405,5.1231,105.1627,39.2395,74.0215,34.528
0.655,13.2474,13.3536,16.1375,76.9822,30.6582,76.9316,85.0454,5.0874,85.0516,5.1019,102.5793,39.2846,74.0802,34.131
0.6611,13.2509,13.3417,16.1342,76.9711,30.6294,76.938,85.0505,5.0981,85.0472,5.0944,102.5933,39.3008,74.0707,34.125
0.6672,13.2614,13.3564,16.1456,76.9531,30.6406,76.9292,85.0425,5.105,85.0445,5.0948,102.5752,39.2743,74.0769,34.1421
0.6733,13.2382,13.3625,16.1267,76.9544,30.6437,76.926,85.0544,5.1052,85.0449,5.0893,102.5859,39.2999,74.0922,34.1227
0.6794,13.2241,13.3439,16.1407,76.979,30.6615,76.9172,85.0424,5.0828,85.0238,5.0862,102.597,39.2706,74.0687,34.1419
0.6855,13.2475,13.348,16.1458,76.96,30.6576,76.9357,85.0476,5.1036,85.0443,5.0794,102.5887,39.2848,74.0631,34.143
0.6916,13.2311,13.3493,16.1359,76.9863,30.6376,76.9129,85.0609,5.0912,85.0581,5.0918,102.6056,39.3026,74.0669,34.1435
0.6977,13.2545,13.3525,16.1533,76.9715,30.6577,76.9166,85.0598,5.0935,85.0494,5.0997,102.5923,39.2776,74.0754,34.1492
0.7038,13.2351,13.3368,16.1064,77.9721,30.6047,77.4854,84.8211,5.0709,84.8174,5.0762,102.7077,39.4338,74.2909,33.5294
0.7099,13.2507,13.3579,16.1214,77.9807,30.6126,77.491,84.8232,5.0707,84.817,5.0788,102.7042,39.4358,74.2827,33.526
0.716,13.2297,13.3507,16.1261,77.9688,30.5815,77.4889,84.8152,5.0807,84.8084,5.0711,102.7106,39.4377,74.2812,33.5238
0.7221,13.2256,13.3357,16.1118,77.9687,30.6014,77.5113,84.8505,5.074,84.8109,5.0879,102.6814,39.4296,74.3102,33.5276
0.7282,13.2537,13.346,16.1176,77.9724,30.5927,77.497,84.8195,5.0801,84.8337,5.061,102.7056,39.4302,74.2988,33.5365
0.7343,13.2282,13.3348,16.1104,77.9862,30.5926,77.517,84.8232,5.0837,84.8137,5.0813,102.6781,39.4512,74.2901,33.5314
0.7404,13.2271,13.348,16.1255,77.9683,30.605,77.5002,84.807,5.0628,84.8224,5.081,102.693,39.4385,74.2808,33.5383
0.7465,13.2426,13.3633,16.1225,77.9888,30.6016,77.4981,84.815,5.0848,84.836,5.0879,102.7097,39.4529,74.2916,33.5122
0.7527,13.2204,13.3239,16.0806,79.6895,30.509,78.5495,84.451,5.061,84.4399,5.0531,106.2002,39.8819,74.8705,32.061
0.7588,13.2341,13.3214,16.0738,79.6846,30.5157,78.5572,84.4395,5.0628,84.4312,5.0781,106.1969,39.892,74.9009,32.0392
0.7649,13.2111,13.3063,16.0848,79.6759,30.5186,78.5552,84.4399,5.0728,84.4469,5.0374,106.1892,39.8806,74.8914,32.0537
0.771,13.2157,13.3321,16.0887,79.7049,30.5156,78.5315,84.4503,5.0604,84.4466,5.0492,106.2083,39.8898,74.8849,32.0403
0.7771,13.2156,13.3023,16.0754,79.6869,30.5216,78.5308,84.4354,5.0618,84.4612,5.0666,106.2083,39.8841,74.8761,32.0232
0.7832,13.2206,13.3315,16.092,79.6871,30.5072,78.5238,84.4389,5.0428,84.4384,5.0622,106.2058,39.8973,74.8978,32.0422
0.7893,13.2102,13.3045,16.0729,79.6782,30.5172,78.5459,84.4392,5.0271,84.4576,5.0674,106.2147,39.898,74.8958,32.0657
