hemodynamics dlco value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_pO2,caSys_HCO3,cvSys_HCO3,caSys_O2sat,cvSys_O2sat,caSys_pH,cvSys_pH,caSys_BE
1.0,1184.7361,31.9209,41.0755,41.2088,70.1922,22.3642,23.7153,93.5564,76.573,7.4697,7.3839,-1.2513
1.0991,1184.7181,31.9435,41.0769,41.2187,70.1782,22.3917,23.7277,93.57,76.5666,7.4665,7.3789,-1.2411
1.1982,1184.7279,31.9074,41.0778,41.2186,70.1946,22.3691,23.7296,93.5447,76.5722,7.4628,7.3705,-1.2447
1.2973,1184.7226,31.9281,41.1,41.2354,70.2045,22.3846,23.721,93.553,76.5742,7.486,7.391,-1.2486
1.3964,1184.7124,31.9136,41.0766,41.1923,70.193,22.3833,23.7242,93.5439,76.5795,7.4807,7.3871,-1.2538
1.4955,1184.4722,31.9105,41.096,41.2224,70.1404,22.3781,23.7315,93.5364,76.5447,7.4494,7.3868,-1.2553
1.5946,1184.469,31.9252,41.0754,41.1993,70.1337,22.3849,23.725,93.5311,76.5626,7.474,7.3903,-1.2382
1.6937,1184.4328,31.9302,41.078,41.2103,70.1347,22.3845,23.7391,93.5421,76.57,7.4705,7.3915,-1.25
1.7928,1184.4342,31.9233,41.0912,41.2199,70.1226,22.3793,23.7262,93.5266,76.5741,7.4748,7.3896,-1.2585
1.8919,1184.4295,31.9108,41.0814,41.2157,70.1104,22.3846,23.7065,93.5533,76.5813,7.472,7.3816,-1.2537
1.991,1184.4163,31.9139,41.0635,41.2054,70.1212,22.3739,23.7384,93.5341,76.5536,7.471,7.3984,-1.2405
2.0901,1184.4191,31.9351,41.0836,41.2049,70.1275,22.3644,23.7266,93.5362,76.5652,7.4749,7.3966,-1.2469
2.1892,1184.4217,31.9354,41.0944,41.2016,70.1241,22.371,23.7203,93.545,76.574,7.4557,7.3645,-1.2469
2.2883,1184.4618,31.9226,41.0773,41.1968,70.1411,22.3762,23.7026,93.5461,76.558,7.4811,7.3695,-1.2527
