hemodynamics shuntfraction value,caSys_pCO2,cvSys_pCO2,caSys_HCO3,cvSys_HCO3,caSys_BE,bgDO2,caSys_pH,cvSys_pH,cvSys_pO2,caSys_pO2,caSys_O2sat,cvSys_O2sat
0.0,31.7949,41.0674,22.3616,23.7284,-1.2612,1309.3532,7.4639,7.3618,52.0896,282.5683,99.8581,86.2827
0.1001,31.7926,41.054,22.3807,23.7206,-1.2516,1309.338,7.4715,7.3863,52.0695,282.5405,99.8712,86.2737
0.2002,31.7904,41.0522,22.3498,23.7041,-1.2618,1309.3528,7.4578,7.3657,52.0924,282.5416,99.8722,86.289
0.3003,31.7817,41.0617,22.3692,23.7233,-1.2329,1309.3463,7.4789,7.3771,52.0798,282.5579,99.8753,86.2844
0.4004,31.7874,41.0712,22.3617,23.7185,-1.2529,1309.3001,7.4515,7.3974,52.0672,282.3983,99.8674,86.2794
0.5005,31.7905,41.0743,22.37,23.729,-1.2508,1309.2962,7.4642,7.3804,52.0558,282.365,99.8522,86.2536
0.6006,31.7768,41.0627,22.3547,23.7095,-1.2429,1309.2801,7.4774,7.3997,52.0592,282.2722,99.8583,86.2618
0.7007,31.7923,41.0713,22.3596,23.7059,-1.2487,1309.2631,7.4456,7.384,52.0251,282.2268,99.8499,86.2951
0.8008,31.7969,41.0767,22.3697,23.7042,-1.2495,1309.2343,7.4565,7.3785,52.0354,282.0714,99.8638,86.28
0.9009,31.8161,41.0796,22.357,23.7149,-1.2556,1309.1229,7.4608,7.3862,52.0216,281.6062,99.865,86.2422
1.001,31.8143,41.0913,22.3798,23.7354,-1.2602,1309.0734,7.476,7.3995,52.015,281.4585,99.8543,86.2449
1.1011,31.8211,41.0863,22.3756,23.7249,-1.271,1309.0293,7.47,7.3692,52.0081,281.2567,99.828,86.2603
1.2012,31.8373,41.0754,22.3536,23.7118,-1.2589,1308.9867,7.4657,7.3984,52.0001,280.9869,99.8557,86.2224
1.3013,31.8235,41.1155,22.3629,23.7229,-1.2645,1308.8513,7.4884,7.4015,51.9783,280.4756,99.8529,86.2456
1.4014,31.8482,41.1279,22.3791,23.7463,-1.2531,1308.6714,7.4668,7.3789,51.9779,279.708,99.8594,86.2135
1.5015,31.9213,41.1815,22.388,23.7456,-1.2394,1307.9506,7.4778,7.3761,51.9041,276.6843,99.8664,86.1739
1.6016,31.9457,41.1941,22.3985,23.7379,-1.2511,1307.8472,7.4693,7.3855,51.8974,276.177,99.8473,86.1535
1.7017,31.9271,41.2168,22.3758,23.7446,-1.2484,1307.6281,7.4884,7.3904,51.8668,275.3262,99.8448,86.1506
1.8018,31.9809,41.253,22.4121,23.7496,-1.2732,1307.0396,7.4599,7.3744,51.807,272.739,99.8539,86.1068
1.9019,31.9854,41.2672,22.4064,23.7529,-1.2466,1306.9202,7.4817,7.3876,51.7855,272.2045,99.8452,86.1097
2.002,32.0225,41.2784,22.375,23.7641,-1.2594,1306.8036,7.4531,7.3704,51.7958,271.6716,99.8267,86.1009
2.1021,32.0235,41.2814,22.3757,23.7402,-1.2708,1306.7435,7.4608,7.3895,51.7865,271.5,99.8543,86.105
2.2022,32.011,41.2698,22.3896,23.7425,-1.2538,1306.655,7.4665,7.3806,51.766,271.1886,99.8448,86.0942
2.3023,32.0171,41.2784,22.3897,23.7495,-1.2583,1306.6615,7.4746,7.3782,51.7924,271.159,99.8359,86.1125
2.4024,32.0157,41.2687,22.4018,23.7467,-1.2583,1306.6851,7.4541,7.3729,51.7857,271.2264,99.8371,86.0702
2.5025,32.0191,41.2697,22.3835,23.7332,-1.2712,1306.6721,7.4615,7.3891,51.7815,271.232,99.8375,86.0892
2.6026,31.9751,41.2539,22.3721,23.7429,-1.2416,1306.74,7.4755,7.3887,51.7862,271.4198,99.8582,86.1126
2.7027,31.9896,41.2685,22.3829,23.748,-1.2505,1306.7537,7.4568,7.3919,51.7737,271.5722,99.8382,86.0959
2.8028,31.986,41.2503,22.4033,23.7454,-1.2586,1306.7583,7.4818,7.3845,51.7715,271.5856,99.8437,86.0796
2.9029,31.9806,41.2483,22.4006,23.7409,-1.253,1306.7835,7.4605,7.3914,51.786,271.6076,99.8607,86.092
3.003,31.996,41.2393,22.3939,23.751,-1.2615,1306.7744,7.4761,7.3751,51.7723,271.5908,99.8392,86.1002
3.1031,31.9848,41.2542,22.3857,23.7502,-1.2296,1306.7624,7.4758,7.3786,51.7697,271.5685,99.845,86.0908
3.2032,31.9713,41.2659,22.3813,23.7505,-1.2555,1306.7607,7.4753,7.3832,51.7845,271.5565,99.8484,86.094
3.3033,31.9814,41.2389,22.385,23.7556,-1.2365,1306.734,7.4519,7.3809,51.764,271.4151,99.8286,86.1049
3.4034,31.9769,41.2441,22.3865,23.7557,-1.2503,1306.6796,7.4579,7.3841,51.7624,271.2365,99.832,86.1013
3.5035,32.0146,41.2801,22.3794,23.7545,-1.2548,1306.6229,7.4685,7.3859,51.7585,270.971,99.8326,86.0797
3.6036,32.0291,41.2924,22.3992,23.7439,-1.2445,1306.4943,7.4886,7.379,51.7269,270.4576,99.8374,86.0843
3.7037,32.0458,41.3232,22.3682,23.7669,-1.2608,1306.1103,7.4534,7.3818,51.7114,268.8027,99.8397,86.0411
3.8038,32.1033,41.3898,22.4139,23.7645,-1.2649,1305.8322,7.4947,7.3902,51.6802,267.5988,99.8441,86.0152
3.9039,32.1674,41.4209,22.4167,23.7707,-1.2597,1305.692,7.4728,7.3711,51.6383,266.9954,99.8288,85.9968
4.004,32.2579,41.5357,22.4348,23.7773,-1.2674,1305.4254,7.472,7.3772,51.6107,265.9349,99.8332,85.9728
4.1041,32.3273,41.5869,22.4481,23.7892,-1.2462,1305.2687,7.4675,7.3729,51.5924,265.2953,99.8313,85.9474
4.2042,32.315,41.5682,22.4304,23.7953,-1.2679,1305.2775,7.4579,7.3899,51.5831,265.305,99.826,85.9681
4.3043,32.413,41.6729,22.4605,23.813,-1.2682,1305.0857,7.4733,7.3668,51.56,264.5389,99.8368,85.9617
4.4044,32.6169,41.9199,22.4782,23.8348,-1.3155,1304.6728,7.45,7.3737,51.4852,262.8039,99.8199,85.8986
4.5045,33.0073,42.3254,22.5453,23.903,-1.3038,1303.9224,7.4349,7.3763,51.3661,259.6259,99.8132,85.8308
4.6046,33.1243,42.4906,22.5625,23.9295,-1.3052,1303.6952,7.4487,7.3699,51.335,258.6691,99.8328,85.8
4.7047,33.1595,42.5127,22.57,23.9194,-1.2854,1303.6315,7.4458,7.3906,51.311,258.3738,99.823,85.7813
4.8048,33.1718,42.5139,22.5718,23.9343,-1.2837,1303.603,7.4496,7.3818,51.3256,258.2952,99.8172,85.8014
4.9049,33.1785,42.5081,22.5593,23.9341,-1.2987,1303.5467,7.4282,7.3769,51.3222,258.1556,99.8347,85.7857
