hemodynamics fdo2 value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_pO2,caSys_HCO3,cvSys_HCO3,caSys_O2sat,cvSys_O2sat,caSys_pH,cvSys_pH,caSys_BE
0.21,1229.0773,31.9838,41.1728,44.3083,92.5824,22.3808,23.7415,96.7177,79.9719,7.4565,7.3626,-1.2478
0.2108,1229.1034,31.9919,41.155,44.3022,92.5656,22.3965,23.7349,96.7353,79.9942,7.4703,7.3809,-1.2489
0.2116,1229.0977,31.9781,41.155,44.2964,92.5855,22.3928,23.7435,96.7412,79.9781,7.4756,7.3825,-1.2695
0.2124,1229.09,31.9896,41.1591,44.314,92.5722,22.4008,23.7442,96.7286,79.9672,7.4719,7.3612,-1.238
0.2132,1229.1141,31.9922,41.1709,44.2932,92.57,22.3814,23.7325,96.7261,79.9744,7.4842,7.3805,-1.2381
0.214,1229.096,31.9795,41.1525,44.3057,92.5682,22.3942,23.7486,96.7096,79.9842,7.4854,7.3798,-1.2482
0.2147,1229.0953,31.9829,41.1578,44.3137,92.5698,22.4045,23.743,96.7094,79.9761,7.4657,7.3697,-1.2625
0.2155,1229.1118,32.0017,41.1455,44.3224,92.5798,22.3777,23.7482,96.7337,79.9626,7.4857,7.3732,-1.26
0.2163,1229.1043,31.985,41.1609,44.2965,92.573,22.387,23.7452,96.719,79.9543,7.47,7.3723,-1.259
0.2171,1229.0883,31.9842,41.1679,44.297,92.5752,22.3819,23.7392,96.7245,79.9705,7.4736,7.3829,-1.237
0.2179,1229.1156,32.0061,41.1555,44.3366,92.5865,22.3782,23.7392,96.7063,79.9675,7.4613,7.3753,-1.2617
0.2187,1229.0909,31.9921,41.1692,44.3031,92.5614,22.377,23.7315,96.7291,79.9585,7.4718,7.3664,-1.2583
0.2195,1229.0972,32.0108,41.1536,44.3037,92.5683,22.3923,23.744,96.6961,79.9755,7.4831,7.3949,-1.2526
0.2203,1229.1061,31.9842,41.1502,44.3079,92.584,22.3722,23.7341,96.7092,79.9674,7.4677,7.3639,-1.2615
0.2211,1229.101,31.9878,41.1644,44.3068,92.5742,22.4006,23.7427,96.7215,79.9592,7.4553,7.3789,-1.2424
0.2219,1229.0981,31.9855,41.1655,44.3182,92.5612,22.3951,23.7442,96.7299,79.9714,7.4809,7.3943,-1.252
0.2227,1229.0976,31.9982,41.1512,44.3088,92.5592,22.3929,23.7528,96.7016,79.9604,7.4744,7.3884,-1.252
0.2234,1229.0904,31.9908,41.1751,44.3055,92.5691,22.3947,23.7337,96.7016,79.9766,7.4555,7.3832,-1.259
0.2242,1229.1112,31.9895,41.1609,44.3007,92.5715,22.3893,23.7409,96.7161,79.9733,7.474,7.3706,-1.2512
