hemodynamics fdo2 value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_pO2,caSys_HCO3,cvSys_HCO3,caSys_O2sat,cvSys_O2sat,caSys_pH,cvSys_pH,caSys_BE
0.21,1229.1085999999998,31.993699999999997,41.16439999999999,44.307100000000005,92.60379999999999,22.390900000000002,23.7365,96.7217,79.9733,7.4708,7.3807,-1.2673
0.2108,1229.1186,31.991699999999998,41.1613,44.321200000000005,92.57629999999999,22.3904,23.7486,96.7182,79.9682,7.4706,7.3797999999999995,-1.2506
0.2116,1229.0910999999999,31.9913,41.1727,44.3172,92.53519999999999,22.3834,23.740499999999997,96.7158,79.9679,7.4697,7.38,-1.2424
0.2124,1229.1048999999998,31.9807,41.1601,44.317,92.577,22.39,23.745099999999997,96.718,79.96809999999999,7.4700999999999995,7.3799,-1.243
0.2132,1229.1117,31.9914,41.1603,44.3069,92.54459999999999,22.3912,23.7293,96.7222,79.9669,7.4692,7.3805,-1.2623
0.214,1229.106,31.9878,41.157,44.3065,92.59379999999999,22.389300000000002,23.7379,96.724,79.9635,7.4695,7.3804,-1.2562
0.2147,1229.1025,31.990499999999997,41.1464,44.312400000000004,92.56049999999999,22.3903,23.740499999999997,96.7136,79.9605,7.4708,7.3797999999999995,-1.2441
0.2155,1229.1082,31.9914,41.156699999999994,44.306000000000004,92.56779999999999,22.392500000000002,23.740599999999997,96.7207,79.9692,7.4702,7.38,-1.2555
0.2163,1229.0949999999998,31.991,41.162299999999995,44.310900000000004,92.5646,22.395,23.744999999999997,96.72279999999999,79.97109999999999,7.4702,7.3793,-1.2477
0.2171,1229.1147999999998,31.999799999999997,41.1613,44.31,92.59179999999999,22.392400000000002,23.740399999999998,96.7099,79.9593,7.4699,7.3795,-1.2437
0.2179,1229.1055999999999,31.991799999999998,41.1665,44.3097,92.59349999999999,22.3899,23.7398,96.7176,79.9674,7.4699,7.3804,-1.2394
0.2187,1229.1109,31.991,41.155199999999994,44.294200000000004,92.5556,22.3851,23.7273,96.7222,79.9666,7.4704999999999995,7.3796,-1.2501
0.2195,1229.0974999999999,31.984399999999997,41.158899999999996,44.309200000000004,92.58919999999999,22.3952,23.7317,96.7155,79.9624,7.4706,7.3797,-1.2416
0.2203,1229.1328999999998,31.9942,41.1631,44.3262,92.565,22.3949,23.734599999999997,96.7179,79.972,7.471299999999999,7.3806,-1.2489
0.2211,1229.1041,31.9987,41.165499999999994,44.2997,92.55399999999999,22.395400000000002,23.7362,96.7248,79.9639,7.4700999999999995,7.3796,-1.2411
0.2219,1229.0774,31.9973,41.157399999999996,44.297000000000004,92.55669999999999,22.3882,23.735799999999998,96.7089,79.9639,7.469399999999999,7.3806,-1.2284
0.2227,1229.1046999999999,31.9862,41.174499999999995,44.317800000000005,92.60199999999999,22.387900000000002,23.7424,96.7194,79.9702,7.4700999999999995,7.38,-1.2512
0.2234,1229.097,31.99,41.1573,44.2991,92.56989999999999,22.3839,23.743599999999997,96.7176,79.9718,7.4703,7.3802,-1.2564
0.2242,1229.0918,31.9883,41.159099999999995,44.3108,92.55539999999999,22.3945,23.7412,96.7135,79.9661,7.4704,7.38,-1.2415
0.225,1229.0836,31.985799999999998,41.162699999999994,44.3117,92.5884,22.3982,23.74,96.7219,79.973,7.4704,7.3801,-1.2424
0.2258,1229.0953,31.984399999999997,41.1601,44.305,92.59849999999999,22.3846,23.740599999999997,96.7252,79.9644,7.4706,7.38,-1.2544
0.2266,1229.1079,31.9806,41.1556,44.308,92.56179999999999,22.3927,23.7457,96.7235,79.9701,7.4702,7.3797999999999995,-1.245
0.2274,1229.1147999999998,31.991899999999998,41.1579,44.307,92.54589999999999,22.3915,23.7411,96.7157,79.9653,7.4704999999999995,7.3805,-1.2445
0.2282,1229.1175999999998,31.982,41.1508,44.313300000000005,92.5281,22.3937,23.732799999999997,96.713,79.9706,7.4704999999999995,7.381,-1.2484
0.229,1229.0919999999999,31.9945,41.160999999999994,44.3102,92.56269999999999,22.3922,23.732799999999997,96.7196,79.9627,7.469799999999999,7.3806,-1.2368999999999999
0.2298,1229.0937,31.982599999999998,41.158899999999996,44.316900000000004,92.5731,22.3844,23.7339,96.7192,79.9765,7.4699,7.3793,-1.2435
0.2306,1229.0955999999999,31.984499999999997,41.16,44.3205,92.6022,22.391000000000002,23.7355,96.7236,79.96979999999999,7.4703,7.3789,-1.2529
0.2314,1229.0927,31.9895,41.162699999999994,44.3019,92.5516,22.3968,23.7446,96.7205,79.9704,7.4702,7.3786,-1.2432
0.2321,1229.0943,31.993299999999998,41.163399999999996,44.31,92.5436,22.381800000000002,23.7503,96.7112,79.98049999999999,7.4696,7.3793,-1.2515
0.2329,1229.1081,31.99,41.165499999999994,44.3083,92.59899999999999,22.3943,23.7364,96.7177,79.9665,7.4693,7.3797999999999995,-1.2436
0.2337,1229.0810999999999,31.987599999999997,41.1624,44.2815,92.55019999999999,22.3977,23.749299999999998,96.7173,79.9617,7.4697,7.3797,-1.2557
0.2345,1229.0892999999999,31.9868,41.150299999999994,44.294000000000004,92.57589999999999,22.4028,23.743,96.7265,79.9722,7.47,7.3801,-1.2425
0.2353,1229.0883999999999,31.987399999999997,41.15369999999999,44.3173,92.588,22.384900000000002,23.7321,96.726,79.9548,7.4697,7.3796,-1.2525
0.2361,1229.0856999999999,31.982699999999998,41.159,44.297000000000004,92.59179999999999,22.3779,23.7355,96.7254,79.9676,7.47,7.3792,-1.2519
0.2369,1229.1028999999999,31.993,41.15389999999999,44.302400000000006,92.58399999999999,22.3834,23.743399999999998,96.7149,79.9767,7.4691,7.3797999999999995,-1.2477
0.2377,1229.1209999999999,31.990199999999998,41.1665,44.3051,92.58609999999999,22.3915,23.735599999999998,96.725,79.9687,7.4699,7.38,-1.2568
0.2385,1229.0946,31.998199999999997,41.1551,44.308800000000005,92.56339999999999,22.3922,23.7379,96.7154,79.9624,7.4695,7.3801,-1.2546
0.2393,1229.1179,31.9911,41.159,44.2967,92.5689,22.392300000000002,23.743,96.7237,79.9689,7.4693,7.3801,-1.2442
0.2401,1229.0921999999998,31.991699999999998,41.1618,44.302,92.58349999999999,22.386300000000002,23.740399999999998,96.7169,79.9717,7.469799999999999,7.3804,-1.2449
0.2408,1229.0989,31.993,41.149499999999996,44.3113,92.5796,22.38,23.7459,96.7093,79.9785,7.469399999999999,7.3793,-1.2616
0.2416,1229.1072,31.983999999999998,41.160799999999995,44.2971,92.56939999999999,22.3949,23.7454,96.7221,79.9783,7.4704,7.3803,-1.2586
0.2424,1229.1010999999999,31.9974,41.1586,44.307300000000005,92.5384,22.3963,23.735899999999997,96.7206,79.9795,7.4704999999999995,7.3795,-1.2469
0.2432,1229.1021999999998,31.9894,41.1635,44.3151,92.53559999999999,22.3962,23.740099999999998,96.724,79.96809999999999,7.469399999999999,7.38,-1.2502
0.244,1229.0899,31.9896,41.1577,44.3054,92.5452,22.3844,23.746,96.7145,79.9663,7.47,7.381,-1.2585
0.2448,1229.0807,31.994799999999998,41.1581,44.3106,92.5606,22.3824,23.743599999999997,96.7208,79.9649,7.4704,7.3792,-1.2554
0.2456,1229.1069,31.985599999999998,41.15539999999999,44.3211,92.5645,22.3903,23.7369,96.7251,79.9686,7.47,7.3795,-1.2514
0.2464,1229.1156999999998,31.9878,41.1601,44.312000000000005,92.5884,22.3812,23.7308,96.7237,79.9753,7.4704999999999995,7.38,-1.2573
0.2472,1229.0835,31.991999999999997,41.169,44.296,92.5685,22.392400000000002,23.733099999999997,96.7357,79.9686,7.47,7.3801,-1.2415
0.248,1229.1044,31.990599999999997,41.1564,44.3004,92.5936,22.4005,23.7348,96.72109999999999,79.9718,7.4702,7.3799,-1.2411
0.2487,1229.1084999999998,31.9882,41.160999999999994,44.3203,92.5672,22.3836,23.7412,96.7188,79.9672,7.469799999999999,7.3803,-1.2496
0.2495,1229.0834,31.9899,41.1588,44.291900000000005,92.57199999999999,22.3884,23.735799999999998,96.7263,79.9696,7.47,7.3809,-1.2667
0.2503,1229.1081,31.988,41.159499999999994,44.3067,92.56219999999999,22.3906,23.7415,96.729,79.9687,7.4696,7.3797,-1.2381
0.2511,1229.1121999999998,31.9911,41.151199999999996,44.3089,92.5867,22.3915,23.7339,96.7239,79.9714,7.4702,7.379,-1.2514
0.2519,1229.0883999999999,31.997899999999998,41.154799999999994,44.32,92.58149999999999,22.3899,23.743299999999998,96.7176,79.9666,7.4704999999999995,7.3793,-1.2493
0.2527,1229.1010999999999,31.987499999999997,41.156299999999995,44.3151,92.60539999999999,22.392400000000002,23.733999999999998,96.7171,79.9729,7.47,7.3799,-1.2531
0.2535,1229.0784999999998,31.982699999999998,41.156299999999995,44.299400000000006,92.5582,22.3937,23.741799999999998,96.7141,79.9783,7.469799999999999,7.3804,-1.2394
0.2543,1229.0958999999998,31.985,41.1637,44.3091,92.6061,22.393900000000002,23.737699999999997,96.719,79.9748,7.4702,7.3806,-1.2676
0.2551,1229.0839999999998,31.9991,41.156,44.3038,92.59089999999999,22.3902,23.7424,96.7167,79.9853,7.468999999999999,7.3803,-1.2553
0.2559,1229.0905,31.9975,41.1646,44.332300000000004,92.5332,22.390900000000002,23.7305,96.7299,79.9697,7.4699,7.3797999999999995,-1.2455
0.2567,1229.0978,31.9942,41.159299999999995,44.3036,92.5295,22.3851,23.732699999999998,96.7294,79.9809,7.4704,7.3803,-1.2458
0.2574,1229.0939999999998,31.9916,41.162299999999995,44.3049,92.52659999999999,22.3875,23.740599999999997,96.7173,79.9768,7.4704,7.3805,-1.2371
0.2582,1229.11,31.990399999999998,41.1596,44.3271,92.5423,22.389,23.7348,96.7188,79.96379999999999,7.4697,7.3797999999999995,-1.2624
0.259,1229.0855999999999,31.9909,41.1639,44.319500000000005,92.55059999999999,22.381700000000002,23.734199999999998,96.7202,79.9837,7.469799999999999,7.3806,-1.2546
0.2598,1229.1098,31.9895,41.1628,44.3048,92.5706,22.3867,23.732499999999998,96.7253,79.9694,7.4702,7.3802,-1.2344
0.2606,1229.0743,31.996199999999998,41.162699999999994,44.3016,92.5495,22.3846,23.7397,96.717,79.9727,7.469799999999999,7.3806,-1.2738
0.2614,1229.1114,31.9955,41.155199999999994,44.310100000000006,92.5778,22.386400000000002,23.737499999999997,96.7106,79.9636,7.4697,7.3797999999999995,-1.2575
0.2622,1229.1037999999999,31.987499999999997,41.165,44.3123,92.54459999999999,22.392,23.734299999999998,96.7227,79.9696,7.4700999999999995,7.3804,-1.2375
0.263,1229.1007,31.9867,41.166799999999995,44.3121,92.6044,22.3906,23.7348,96.7247,79.9731,7.4707,7.3796,-1.2473
0.2638,1229.1069,31.987599999999997,41.157199999999996,44.3217,92.53949999999999,22.3887,23.7393,96.7226,79.9614,7.4704999999999995,7.3797999999999995,-1.2442
0.2646,1229.0869,31.9909,41.170899999999996,44.2963,92.559,22.3891,23.734199999999998,96.7203,79.9744,7.4696,7.38,-1.2504
0.2654,1229.1155999999999,31.987699999999997,41.15989999999999,44.304700000000004,92.5779,22.3892,23.7423,96.7137,79.978,7.469799999999999,7.3802,-1.2299
