hemodynamics hb value,bgDO2,caSys_pCO2,cvSys_pCO2,cvSys_pO2,caSys_HCO3,cvSys_HCO3,cvSys_O2sat,hb,caSys_pH,cvSys_pH,caSys_pO2,caSys_BE,caSys_O2sat
5.0,571.6976,30.1722,38.5978,34.9234,22.1288,23.3568,67.1584,5.3223,7.4817,7.4158,280.0945,-1.2964,99.8603
5.015,571.7019,30.1823,38.5897,34.9103,22.1219,23.3139,67.1515,5.3211,7.4913,7.3997,280.0991,-1.2958,99.8552
5.03,571.699,30.1974,38.6045,34.9327,22.134,23.344,67.1545,5.3277,7.4906,7.395,280.0784,-1.3003,99.8516
5.045,571.6899,30.1922,38.6017,34.9344,22.1172,23.3463,67.1706,5.3244,7.4854,7.401,280.0633,-1.2984,99.8605
5.0601,571.6812,30.1709,38.6003,34.9167,22.1345,23.3586,67.1459,5.3397,7.4816,7.3993,280.0932,-1.3212,99.8436
5.0751,571.6955,30.1894,38.6008,34.9072,22.1169,23.3471,67.1691,5.3191,7.4863,7.399,280.0781,-1.318,99.8688
5.0901,571.6901,30.1803,38.5959,34.9252,22.1128,23.3532,67.1491,5.3248,7.476,7.3991,280.0729,-1.3006,99.8527
5.1051,571.7026,30.1798,38.5937,34.9189,22.1266,23.3527,67.1475,5.3068,7.486,7.3959,280.0743,-1.3039,99.8556
5.1201,571.7057,30.1853,38.5908,34.9118,22.1256,23.3485,67.1541,5.323,7.4848,7.4156,280.0829,-1.2984,99.8689
5.1351,571.6779,30.1654,38.5948,34.9139,22.1237,23.3726,67.1382,5.3185,7.4927,7.4091,280.0719,-1.2952,99.8858
5.1502,571.6614,30.1722,38.6126,34.9414,22.1211,23.3719,67.1586,5.3338,7.5053,7.4136,280.0615,-1.3041,99.8443
5.1652,571.69,30.1618,38.608,34.9265,22.1283,23.345,67.1551,5.3195,7.4932,7.3972,280.0732,-1.3127,99.8519
5.1802,571.6868,30.1894,38.6203,34.9151,22.1258,23.3661,67.1494,5.3037,7.4844,7.3787,280.0915,-1.298,99.8509
5.1952,571.6984,30.1802,38.5948,34.9102,22.107,23.3413,67.1638,5.3323,7.5054,7.41,280.0936,-1.3113,99.8554
5.2102,571.6937,30.1771,38.5968,34.918,22.126,23.3442,67.1505,5.3285,7.4975,7.3926,280.0826,-1.3064,99.8801
5.2252,571.6738,30.183,38.5986,34.9087,22.1416,23.3583,67.1508,5.3184,7.4913,7.3948,280.0919,-1.2832,99.8553
5.2402,571.6894,30.1917,38.5995,34.9338,22.1231,23.3464,67.1568,5.3209,7.5076,7.4151,280.0938,-1.2985,99.8571
5.2553,571.6951,30.1765,38.601,34.9357,22.1397,23.3597,67.1508,5.3113,7.4769,7.3944,280.0774,-1.2834,99.8608
5.2703,571.6883,30.1884,38.6022,34.9273,22.1299,23.3458,67.1456,5.32,7.4772,7.4018,280.0843,-1.308,99.8524
5.2853,571.6905,30.1826,38.5994,34.9158,22.1263,23.3405,67.1359,5.3244,7.4985,7.4093,280.0728,-1.3058,99.8582
5.3003,571.6816,30.1945,38.6044,34.918,22.0987,23.36,67.15,5.338,7.4895,7.4141,280.0742,-1.2912,99.8661
5.3153,571.6956,30.1665,38.5937,34.9044,22.1136,23.3562,67.1459,5.3053,7.4866,7.4081,280.0777,-1.295,99.8573
5.3303,571.6934,30.1873,38.6058,34.9403,22.1193,23.3473,67.1386,5.3181,7.4864,7.4001,280.08,-1.3049,99.8639
5.3453,571.6959,30.1836,38.5983,34.9177,22.1098,23.3626,67.1651,5.3189,7.4874,7.4091,280.0854,-1.2838,99.8497
5.3604,571.689,30.1944,38.6037,34.9149,22.1194,23.3587,67.1313,5.3206,7.5052,7.3879,280.0958,-1.2935,99.8471
5.3754,571.6815,30.1734,38.602,34.9097,22.0978,23.3372,67.1456,5.3026,7.4811,7.3822,280.0746,-1.2832,99.8665
5.3904,571.6807,30.1684,38.6077,34.9373,22.1301,23.3473,67.169,5.3108,7.5047,7.4046,280.0646,-1.2913,99.8456
5.4054,571.6798,30.1949,38.6015,34.9112,22.1218,23.3516,67.1537,5.3192,7.4876,7.4136,280.0803,-1.2864,99.867
5.4204,571.697,30.1511,38.6107,34.889,22.1195,23.3465,67.1503,5.3097,7.4765,7.4029,280.0746,-1.3028,99.8758
5.4354,571.6867,30.177,38.6087,34.912,22.1168,23.3497,67.1575,5.3133,7.4868,7.3967,280.0938,-1.288,99.8579
5.4505,571.6937,30.1698,38.605,34.9169,22.1222,23.3412,67.1597,5.3135,7.4934,7.3937,280.077,-1.3083,99.8632
5.4655,571.6806,30.1695,38.5947,34.9118,22.1204,23.3636,67.1352,5.3085,7.5012,7.4064,280.1014,-1.3101,99.8486
5.4805,571.6898,30.1814,38.5911,34.9055,22.1112,23.3351,67.1441,5.3201,7.4951,7.404,280.0887,-1.3145,99.849
5.4955,571.6926,30.2005,38.5769,34.9186,22.135,23.3578,67.1401,5.3205,7.4943,7.4075,280.0805,-1.3065,99.852
5.5105,625.6217,30.2007,38.6596,36.7392,22.1306,23.3525,70.2594,5.9111,7.4839,7.4068,278.6346,-1.2713,99.8587
5.5255,625.615,30.1775,38.6568,36.7398,22.1246,23.3588,70.272,5.8949,7.4873,7.3928,278.6204,-1.2706,99.8679
5.5405,625.6036,30.1857,38.685,36.7452,22.1197,23.3727,70.2718,5.8975,7.4884,7.401,278.6227,-1.2753,99.8655
5.5556,625.5972,30.1921,38.6731,36.7426,22.1122,23.3473,70.2482,5.8891,7.4808,7.3741,278.6286,-1.2693,99.84
5.5706,625.6184,30.2013,38.6785,36.725,22.1097,23.3805,70.2509,5.8935,7.4901,7.3982,278.6474,-1.2535,99.8588
5.5856,625.5962,30.2012,38.6676,36.7415,22.1151,23.3582,70.2834,5.902,7.494,7.3951,278.615,-1.2861,99.8439
5.6006,625.629,30.1751,38.669,36.7543,22.1208,23.3616,70.2744,5.8924,7.5024,7.4257,278.6331,-1.2692,99.8668
5.6156,625.5966,30.1803,38.6543,36.718,22.1253,23.3708,70.2588,5.8767,7.5047,7.4008,278.6452,-1.2724,99.8711
5.6306,625.6265,30.2022,38.6787,36.728,22.0996,23.3604,70.2658,5.8862,7.4818,7.4043,278.6042,-1.2972,99.8563
5.6456,625.5979,30.1801,38.6673,36.7351,22.1172,23.3757,70.2695,5.8964,7.4857,7.3904,278.6247,-1.2839,99.8532
5.6607,625.6212,30.1884,38.6526,36.7275,22.0986,23.3615,70.2446,5.8846,7.4771,7.3966,278.616,-1.284,99.8399
5.6757,625.5886,30.1863,38.6768,36.7504,22.1262,23.3741,70.2658,5.8843,7.4762,7.4187,278.6288,-1.2905,99.8519
5.6907,625.6239,30.197,38.66,36.7523,22.1224,23.3453,70.2744,5.8887,7.4889,7.4127,278.6231,-1.2621,99.8521
5.7057,625.5914,30.2077,38.6758,36.7527,22.1045,23.3522,70.261,5.899,7.4851,7.4112,278.6402,-1.2732,99.8582
5.7207,625.5995,30.1783,38.6743,36.7361,22.1386,23.3703,70.2691,5.9018,7.4918,7.4139,278.6382,-1.2863,99.8594
5.7357,625.6082,30.1921,38.6677,36.749,22.1271,23.3747,70.2564,5.8926,7.4873,7.3846,278.6494,-1.3054,99.8487
5.7508,625.6098,30.176,38.6722,36.7521,22.1014,23.3572,70.2452,5.8696,7.4995,7.3955,278.6303,-1.2964,99.8476
5.7658,625.6121,30.2098,38.6863,36.7266,22.1335,23.3491,70.2626,5.8771,7.4761,7.4036,278.6307,-1.2699,99.8627
5.7808,625.6189,30.1909,38.669,36.7254,22.1324,23.3652,70.2633,5.8917,7.4757,7.4171,278.6145,-1.2945,99.8536
5.7958,625.6095,30.1895,38.6726,36.7216,22.1132,23.3572,70.2628,5.8999,7.4779,7.403,278.6186,-1.2861,99.8711
5.8108,625.5879,30.184,38.6733,36.7412,22.1205,23.3623,70.2546,5.8747,7.5052,7.3906,278.6272,-1.2677,99.8706
5.8258,625.5947,30.1891,38.6643,36.754,22.121,23.3363,70.2638,5.8985,7.4878,7.391,278.6303,-1.2696,99.8593
5.8408,625.616,30.1869,38.6759,36.7429,22.1251,23.3632,70.2629,5.8857,7.4868,7.3963,278.6042,-1.2796,99.8604
5.8559,625.5977,30.2107,38.6694,36.7297,22.1291,23.3718,70.2756,5.9083,7.4977,7.4004,278.6199,-1.2951,99.8544
5.8709,625.5867,30.1966,38.6787,36.7355,22.1208,23.3657,70.2554,5.8853,7.4991,7.3925,278.6303,-1.272,99.8522
5.8859,625.6055,30.2045,38.6842,36.7316,22.1198,23.363,70.246,5.8794,7.4724,7.3835,278.64,-1.2737,99.8515
5.9009,625.6156,30.18,38.6816,36.7383,22.1083,23.3689,70.2651,5.8762,7.4992,7.4099,278.6454,-1.2888,99.8461
5.9159,625.6007,30.1869,38.6655,36.7471,22.1071,23.3584,70.2779,5.8783,7.4856,7.4061,278.6302,-1.2863,99.8562
5.9309,625.6221,30.1952,38.6754,36.7433,22.1171,23.3548,70.2655,5.8969,7.5092,7.3713,278.618,-1.2867,99.8534
5.9459,625.6023,30.1781,38.6823,36.7205,22.122,23.3474,70.2613,5.8898,7.4859,7.3915,278.63,-1.2941,99.8569
5.961,625.6187,30.1729,38.655,36.7272,22.1337,23.3633,70.2658,5.8883,7.4664,7.3939,278.618,-1.2782,99.8485
5.976,625.6104,30.1826,38.6879,36.7408,22.1057,23.3725,70.2549,5.9014,7.5005,7.4166,278.633,-1.272,99.8469
5.991,625.6083,30.194,38.6645,36.7315,22.1173,23.3399,70.265,5.9013,7.4851,7.3922,278.6354,-1.2841,99.8574
6.006,625.6146,30.1692,38.6557,36.7456,22.0929,23.3546,70.2619,5.8919,7.4949,7.4028,278.6174,-1.2717,99.8614
6.021,625.6063,30.1961,38.6553,36.7224,22.1169,23.3689,70.2633,5.8802,7.4902,7.4141,278.6367,-1.2854,99.8652
6.036,625.6141,30.1994,38.6662,36.7546,22.1254,23.381,70.2641,5.8698,7.4923,7.4045,278.6236,-1.285,99.8629
6.0511,625.604,30.1942,38.6801,36.7324,22.1143,23.3407,70.2556,5.8702,7.4902,7.4202,278.6538,-1.2723,99.8367
