hemodynamics mvo2 value,caSys_pCO2,cvSys_pCO2,caSys_HCO3,cvSys_HCO3,caSys_BE,bgDO2,caSys_pH,cvSys_pH,cvSys_pO2,caSys_pO2,caSys_O2sat,cvSys_O2sat
100.0,15.876,20.9203,19.9729,20.7094,1.3114,1314.063,7.7093,7.5925,78.8111,303.0606,99.8963,95.2295
101.4014,15.8756,20.9262,19.9664,20.6884,1.3188,1314.066,7.7224,7.6188,78.8255,303.0735,99.8771,95.223
102.8028,15.8738,20.9128,19.9877,20.7013,1.3352,1314.0716,7.7486,7.6059,78.8314,303.0763,99.8744,95.2441
104.2042,15.8738,20.9395,19.9577,20.7108,1.3257,1314.0556,7.7331,7.5865,78.8214,303.0742,99.9099,95.2352
105.6056,16.0171,21.1726,19.9978,20.737,1.2324,1314.0017,7.7191,7.5991,78.0278,302.8603,99.8878,95.1147
107.007,16.116,21.2869,20.0175,20.7627,1.2289,1313.9754,7.7255,7.6009,77.7267,302.7318,99.8958,95.063
108.4084,16.0897,21.2792,20.003,20.7689,1.2136,1313.9988,7.7279,7.5974,77.7447,302.7328,99.8736,95.0715
109.8098,16.3462,21.6277,20.0697,20.8151,1.1497,1313.8743,7.7064,7.5812,76.9777,302.245,99.8976,94.9103
111.2112,16.538,21.8683,20.0854,20.8664,1.0731,1313.78,7.7116,7.5921,76.4297,301.8434,99.8685,94.8374
112.6126,16.9007,22.295,20.1245,20.9143,0.9783,1313.6154,7.7041,7.5974,75.5813,301.1112,99.8787,94.6894
114.014,17.0761,22.4851,20.1591,20.9323,0.9462,1313.5189,7.7055,7.5844,75.2385,300.7526,99.8872,94.6035
115.4154,17.0931,22.5233,20.1601,20.9399,0.9311,1313.5069,7.6998,7.5804,75.1616,300.7059,99.8776,94.5925
116.8168,17.3614,22.8426,20.2123,20.9881,0.8425,1313.3655,7.6932,7.6067,74.5689,299.9841,99.8696,94.483
118.2182,17.6212,23.1161,20.2376,21.0288,0.8149,1313.2015,7.6844,7.5732,74.0391,299.2996,99.8853,94.3835
119.6196,18.0239,23.6264,20.2887,21.0991,0.6981,1312.8965,7.6635,7.558,73.1782,297.9948,99.8899,94.2109
121.021,18.2258,23.853,20.3195,21.1355,0.6361,1312.7831,7.6645,7.5723,72.681,297.487,99.885,94.1138
122.4224,18.2095,23.8472,20.3054,21.1296,0.6338,1312.7789,7.6647,7.5607,72.6732,297.4805,99.8762,94.1011
123.8238,18.3024,23.932,20.3437,21.1587,0.6192,1312.7078,7.6639,7.5695,72.4349,297.1962,99.8814,94.056
125.2252,18.9153,24.7065,20.4201,21.2725,0.4791,1312.2378,7.6515,7.5492,70.6668,295.1886,99.8753,93.6474
126.6266,18.9415,24.7273,20.4394,21.2809,0.4893,1312.2464,7.6649,7.5705,70.6058,295.1053,99.8938,93.6346
128.028,19.2598,25.1166,20.4684,21.3329,0.3955,1312.0245,7.6356,7.5387,69.7195,294.1814,99.8833,93.4388
129.4294,19.3187,25.21,20.4841,21.3508,0.3623,1311.9688,7.6478,7.5696,69.4791,293.9067,99.887,93.3621
130.8308,19.3647,25.2947,20.5007,21.3606,0.3679,1311.9187,7.6304,7.5361,69.3539,293.7998,99.8765,93.3465
132.2322,19.7079,25.7948,20.5336,21.4297,0.2925,1311.693,7.6371,7.5488,68.285,292.8078,99.8554,93.0543
133.6336,19.7798,25.9305,20.5626,21.4292,0.255,1311.6514,7.6208,7.5328,68.0895,292.5888,99.8819,93.0014
135.035,19.9504,26.102,20.6002,21.4645,0.2209,1311.5653,7.6243,7.5313,67.7205,292.2116,99.8723,92.9112
136.4364,19.9518,26.1236,20.5963,21.4754,0.2289,1311.5799,7.64,7.5428,67.7301,292.2263,99.8839,92.9089
137.8378,20.2265,26.545,20.656,21.5442,0.1431,1311.4785,7.6261,7.5255,67.027,291.7691,99.8768,92.7067
139.2392,20.3053,26.6575,20.6256,21.5535,0.1508,1311.4177,7.636,7.5432,66.8493,291.5373,99.8636,92.661
140.6406,20.5611,26.9473,20.6708,21.6221,0.0913,1311.2675,7.6181,7.5313,66.4147,290.8703,99.8654,92.5553
142.042,21.0724,27.5707,20.7652,21.7078,-0.0172,1310.8846,7.5971,7.4994,65.7023,289.2642,99.8732,92.3321
143.4434,21.0781,27.5819,20.7246,21.702,-0.0156,1310.893,7.613,7.5019,65.7068,289.2562,99.8645,92.3285
144.8448,21.5138,28.1043,20.8211,21.753,-0.0697,1310.6005,7.6148,7.5005,65.0604,288.0861,99.8707,92.1323
146.2462,21.6427,28.2613,20.8336,21.7935,-0.1032,1310.5402,7.6076,7.5117,64.8621,287.7471,99.8682,92.0792
147.6476,22.1408,28.8527,20.9061,21.8868,-0.199,1310.2572,7.5906,7.5076,64.19,286.6294,99.8749,91.8571
149.049,22.2948,29.0229,20.9564,21.9249,-0.2211,1310.1875,7.6029,7.4873,63.885,286.2521,99.8567,91.7342
150.4505,22.3287,29.0809,20.9526,21.9004,-0.2221,1310.1613,7.5751,7.4969,63.8076,286.1475,99.8579,91.7291
151.8519,22.5961,29.4035,20.9814,21.9798,-0.2718,1310.0552,7.5795,7.4942,63.1853,285.6485,99.8697,91.5118
153.2533,22.7686,29.5825,20.9989,22.0048,-0.2924,1309.989,7.5752,7.4996,62.8337,285.3472,99.8635,91.3873
154.6547,22.9409,29.8007,21.0401,22.0361,-0.3178,1309.9485,7.579,7.481,62.5252,285.1315,99.8649,91.2754
156.0561,23.0258,29.8864,21.0465,22.0421,-0.3274,1309.931,7.5831,7.49,62.4098,285.025,99.8751,91.2514
157.4575,23.053,29.9284,21.0504,22.0524,-0.3376,1309.9066,7.5989,7.4932,62.343,284.9597,99.8598,91.2243
158.8589,23.2057,30.1499,21.0831,22.0661,-0.3769,1309.8519,7.5844,7.4966,62.1372,284.7362,99.865,91.1527
160.2603,23.4032,30.3759,21.0929,22.1254,-0.385,1309.7433,7.5833,7.4775,61.7663,284.3116,99.8659,91.0185
161.6617,23.68,30.8107,21.1414,22.1818,-0.4359,1309.558,7.569,7.489,61.2268,283.5448,99.8636,90.817
163.0631,23.9222,31.2059,21.1507,22.2288,-0.492,1309.3098,7.576,7.4806,60.5243,282.4527,99.8376,90.5515
164.4645,23.9238,31.1986,21.1977,22.2311,-0.4666,1309.294,7.5605,7.461,60.5439,282.4476,99.8518,90.5549
165.8659,23.9994,31.2809,21.182,22.2582,-0.5125,1309.2777,7.5812,7.4804,60.4351,282.289,99.8643,90.5038
167.2673,24.1248,31.4826,21.1982,22.2805,-0.5234,1309.1855,7.5727,7.4778,60.1433,281.8868,99.8679,90.4026
168.6687,24.6746,32.1579,21.3034,22.3841,-0.5873,1308.9436,7.5594,7.4538,59.4814,280.8774,99.8621,90.1001
170.0701,24.9633,32.4897,21.3396,22.4355,-0.6154,1308.7738,7.5481,7.4387,59.1586,280.1617,99.8535,89.9644
171.4715,24.973,32.5152,21.3371,22.4297,-0.6435,1308.754,7.5582,7.4726,59.1422,280.1099,99.838,89.976
172.8729,25.376,32.9992,21.405,22.5176,-0.679,1308.4407,7.5483,7.4485,58.7573,278.7775,99.8635,89.8015
174.2743,25.661,33.3379,21.4533,22.5467,-0.7168,1308.233,7.5452,7.4553,58.4188,277.8059,99.8366,89.6692
175.6757,25.7951,33.4941,21.4556,22.5922,-0.7535,1308.1194,7.5439,7.4497,58.2517,277.3554,99.8434,89.5762
177.0771,25.8744,33.6256,21.4606,22.6118,-0.7482,1308.0582,7.5476,7.4456,58.1007,277.125,99.8574,89.5145
178.4785,25.9897,33.7483,21.4774,22.6315,-0.7671,1307.9978,7.5428,7.4481,57.8476,276.866,99.8531,89.4063
179.8799,26.0337,33.8243,21.5002,22.6391,-0.7849,1307.9671,7.5395,7.4614,57.7734,276.7346,99.8535,89.3741
181.2813,26.2278,34.0219,21.517,22.6565,-0.7833,1307.9144,7.5335,7.451,57.5305,276.4065,99.8351,89.2578
182.6827,26.3274,34.1515,21.5423,22.6876,-0.7949,1307.8301,7.5466,7.4625,57.39,276.1559,99.8585,89.1891
184.0841,26.9238,34.8837,21.62,22.8089,-0.8358,1307.528,7.5271,7.4374,56.7058,274.8487,99.8439,88.8624
185.4855,27.1096,35.0868,21.6443,22.8272,-0.8673,1307.4325,7.5265,7.42,56.529,274.4049,99.8254,88.7784
186.8869,27.3044,35.3747,21.6994,22.8636,-0.8645,1307.2934,7.5215,7.4334,56.2886,273.8158,99.8346,88.6647
188.2883,27.4599,35.5534,21.6974,22.8883,-0.9052,1307.2015,7.5104,7.4278,56.0955,273.429,99.8468,88.5687
189.6897,27.7342,35.9272,21.7544,22.9261,-0.9338,1306.9807,7.5141,7.4218,55.7897,272.4846,99.839,88.4044
191.0911,27.891,36.1791,21.783,22.9938,-0.9595,1306.8377,7.5187,7.417,55.5101,271.8566,99.8425,88.2652
192.4925,27.8945,36.1685,21.7751,22.9781,-0.9436,1306.8356,7.5031,7.4282,55.5124,271.8853,99.8458,88.2522
193.8939,28.09,36.4977,21.7842,23.0431,-0.9733,1306.6584,7.5233,7.4147,55.0142,271.0849,99.8326,88.023
195.2953,28.1638,36.6557,21.8071,23.0656,-0.9959,1306.5586,7.4983,7.422,54.8364,270.6924,99.8381,87.8972
196.6967,28.28,36.78,21.8355,23.0842,-0.9863,1306.4156,7.5121,7.4229,54.5446,270.1118,99.829,87.7455
198.0981,28.3478,36.9144,21.8545,23.0778,-0.9932,1306.3458,7.5066,7.4156,54.391,269.7844,99.8491,87.6596
199.4995,28.4183,36.9606,21.8619,23.1013,-1.0139,1306.3246,7.5102,7.426,54.3268,269.6369,99.8336,87.6414
200.9009,28.4778,37.0455,21.8473,23.0964,-1.0136,1306.2536,7.5217,7.4302,54.2821,269.4312,99.8344,87.6023
202.3023,28.7326,37.3614,21.9141,23.1765,-1.0294,1306.1023,7.5105,7.4126,54.1419,268.8333,99.8561,87.5191
203.7037,29.3504,38.099,21.9655,23.2705,-1.067,1305.7687,7.4969,7.4162,53.7824,267.3147,99.8534,87.3514
205.1051,29.724,38.5426,22.0406,23.3558,-1.0983,1305.576,7.4824,7.4032,53.5826,266.4851,99.8178,87.1884
206.5065,29.9858,38.8466,22.1139,23.3928,-1.1243,1305.4419,7.4862,7.3979,53.3715,265.9097,99.8311,87.0972
207.9079,29.9964,38.8557,22.0881,23.3876,-1.1263,1305.4513,7.4881,7.3966,53.3812,265.8883,99.8384,87.0757
209.3093,30.1899,39.0985,22.1131,23.4449,-1.1265,1305.3353,7.4842,7.404,53.1525,265.4424,99.8314,86.9483
210.7107,30.3459,39.3254,22.1591,23.4636,-1.1709,1305.247,7.4767,7.416,52.8933,265.1256,99.8396,86.7806
212.1121,30.619,39.6708,22.1803,23.4977,-1.1975,1305.1523,7.4662,7.3741,52.5749,264.6961,99.8487,86.5627
213.5135,31.0183,40.0718,22.233,23.5932,-1.1947,1305.0405,7.4555,7.3773,52.168,264.2791,99.8357,86.341
214.9149,31.022,40.0972,22.2412,23.5943,-1.1855,1305.0448,7.4828,7.3901,52.161,264.2684,99.822,86.3147
216.3163,31.2302,40.3405,22.2709,23.6019,-1.2105,1304.9266,7.4862,7.3899,51.9283,263.8057,99.8386,86.1789
217.7177,31.3338,40.5237,22.3068,23.6453,-1.2109,1304.7496,7.4812,7.4027,51.69,262.9955,99.8447,86.0236
219.1191,31.3548,40.6269,22.2873,23.6597,-1.2255,1304.6444,7.4776,7.4032,51.589,262.5944,99.8363,85.9511
220.5205,31.3959,40.6455,22.3062,23.6622,-1.2211,1304.61,7.4682,7.3854,51.5335,262.4251,99.8268,85.9373
221.9219,31.401,40.652,22.3002,23.6697,-1.2323,1304.6104,7.4781,7.4069,51.5372,262.4304,99.8374,85.9104
223.3233,31.4447,40.7492,22.3273,23.6787,-1.2408,1304.4748,7.4677,7.3858,51.4167,261.9326,99.8228,85.8619
224.7247,31.7805,41.193,22.355,23.7425,-1.2608,1304.041,7.458,7.3926,50.9553,260.1009,99.8046,85.5446
226.1261,31.8086,41.2565,22.359,23.7319,-1.2709,1304.0119,7.4766,7.3868,50.9319,259.9174,99.8261,85.5224
227.5275,32.0346,41.5601,22.3931,23.7983,-1.2625,1303.7504,7.4652,7.3717,50.6477,258.8327,99.818,85.3321
228.9289,32.0452,41.5672,22.3844,23.7787,-1.2748,1303.7263,7.4723,7.388,50.6263,258.7827,99.8195,85.3121
230.3303,32.4201,42.1237,22.4501,23.8652,-1.2869,1303.3516,7.4801,7.3708,50.219,257.266,99.8149,85.0318
231.7317,32.6057,42.3615,22.4773,23.9073,-1.3073,1303.2102,7.4688,7.356,50.0639,256.6727,99.8423,84.9239
233.1331,32.6084,42.3613,22.4716,23.9177,-1.299,1303.2182,7.4489,7.3728,50.0576,256.6636,99.8191,84.9257
234.5345,32.7491,42.567,22.5037,23.9409,-1.2891,1303.1363,7.4411,7.3653,49.9209,256.2567,99.8097,84.7982
235.9359,32.7597,42.5724,22.5145,23.9384,-1.3151,1303.1339,7.4581,7.3564,49.9104,256.2377,99.8204,84.7895
237.3373,33.201,43.121,22.5908,24.0387,-1.3051,1302.8759,7.4396,7.3738,49.5577,255.2312,99.7981,84.549
238.7387,33.713,43.7989,22.638,24.1242,-1.3578,1302.5885,7.4645,7.3636,49.1169,253.9889,99.8361,84.2032
240.1401,33.9735,44.1146,22.691,24.1763,-1.3498,1302.4178,7.4319,7.3709,48.8975,253.4036,99.8097,84.0532
241.5415,34.082,44.2638,22.7138,24.2088,-1.356,1302.3871,7.4602,7.3472,48.7865,253.1193,99.7991,83.9824
242.9429,34.0947,44.2879,22.7037,24.1871,-1.3514,1302.3963,7.4622,7.3686,48.7588,253.1101,99.8301,83.9685
244.3443,34.174,44.3993,22.7036,24.2164,-1.3511,1302.3282,7.4512,7.3539,48.7007,252.935,99.8108,83.9211
245.7457,34.4609,44.762,22.7661,24.2798,-1.3837,1302.1812,7.433,7.3507,48.3845,252.3237,99.8221,83.6539
247.1471,34.6098,44.9371,22.7921,24.3147,-1.3956,1302.1175,7.4517,7.3429,48.2414,252.0318,99.8186,83.5538
248.5485,34.6904,45.07,22.799,24.3382,-1.3833,1302.0654,7.4418,7.3534,48.166,251.8593,99.8126,83.4793
249.9499,34.7475,45.1218,22.7881,24.3167,-1.3947,1302.0454,7.4516,7.3507,48.1317,251.7276,99.7908,83.4534
251.3514,34.9185,45.3436,22.8299,24.3509,-1.3827,1301.9402,7.454,7.3336,47.9843,251.3387,99.8027,83.3241
252.7528,34.9612,45.4018,22.8131,24.3791,-1.3944,1301.907,7.4348,7.3325,47.9611,251.2447,99.812,83.2922
254.1542,35.0954,45.5817,22.8506,24.3969,-1.4056,1301.828,7.4451,7.3419,47.8318,250.8877,99.818,83.2131
255.5556,35.5109,46.1017,22.9296,24.495,-1.4049,1301.5859,7.4478,7.3401,47.5226,249.8177,99.8096,82.9457
256.957,35.6503,46.3066,22.9455,24.4957,-1.4221,1301.4853,7.4334,7.3431,47.4005,249.418,99.81,82.8517
258.3584,35.7497,46.4294,22.9481,24.5255,-1.4195,1301.4244,7.4366,7.3407,47.3294,249.2347,99.7974,82.7935
259.7598,35.8061,46.5237,22.9549,24.5506,-1.4335,1301.3736,7.4176,7.3507,47.2927,249.0317,99.8043,82.7492
261.1612,35.924,46.668,22.9899,24.5811,-1.4158,1301.2984,7.4201,7.3288,47.222,248.7363,99.8028,82.6836
262.5626,36.3275,47.1563,23.0451,24.6421,-1.4361,1301.0517,7.4287,7.3466,46.9517,247.7612,99.8019,82.462
263.964,36.6557,47.5561,23.0918,24.7112,-1.429,1300.857,7.4131,7.3389,46.7568,246.9459,99.8005,82.282
265.3654,37.2016,48.2108,23.1708,24.7933,-1.4447,1300.523,7.4199,7.3331,46.4338,245.5729,99.7903,82.009
266.7668,37.3896,48.4544,23.1943,24.8349,-1.4581,1300.4002,7.4054,7.3164,46.3085,245.0835,99.7894,81.9064
268.1682,37.479,48.569,23.2101,24.8527,-1.4473,1300.3366,7.4068,7.3087,46.2628,244.8494,99.7945,81.8538
269.5696,37.8047,48.9812,23.2471,24.8894,-1.4674,1300.1472,7.4302,7.3197,46.0391,244.0143,99.8013,81.6625
270.971,37.8493,49.023,23.266,24.9022,-1.4573,1300.1337,7.398,7.3186,46.0076,243.912,99.8027,81.6366
272.3724,37.9461,49.1637,23.2732,24.9296,-1.4659,1300.0547,7.4162,7.3344,45.9284,243.6414,99.7737,81.5704
273.7738,37.9896,49.2096,23.3088,24.9326,-1.4591,1299.9925,7.4137,7.3395,45.9058,243.5144,99.7781,81.528
275.1752,38.0645,49.3179,23.3267,24.9423,-1.4574,1299.9878,7.4202,7.3079,45.8585,243.3429,99.806,81.4908
276.5766,38.2713,49.5714,23.343,25.0159,-1.472,1299.8406,7.4011,7.3205,45.7185,242.7707,99.7855,81.3379
277.978,38.5844,49.9254,23.3851,25.0436,-1.4607,1299.6638,7.3988,7.3178,45.4756,242.0212,99.7789,81.1147
279.3794,38.8798,50.342,23.4298,25.0951,-1.4969,1299.4431,7.4036,7.3287,45.2447,241.171,99.7725,80.9146
280.7808,39.04,50.5627,23.4457,25.1451,-1.4568,1299.3266,7.3931,7.3181,45.1157,240.6835,99.7921,80.7737
282.1822,39.4206,50.9711,23.5171,25.21,-1.4803,1299.1035,7.3979,7.3211,44.87,239.7402,99.7931,80.5369
283.5836,39.8574,51.6037,23.5684,25.2876,-1.4811,1298.772,7.4126,7.3313,44.5619,238.3904,99.7581,80.2362
284.985,39.9257,51.6585,23.5829,25.3005,-1.4848,1298.7197,7.3953,7.3201,44.5393,238.2572,99.758,80.2193
286.3864,40.0766,51.8298,23.5918,25.3473,-1.4719,1298.6419,7.3963,7.3108,44.4268,237.8709,99.7728,80.1316
287.7878,40.1147,51.8674,23.579,25.3329,-1.4947,1298.6115,7.3941,7.3074,44.4255,237.7763,99.7713,80.099
289.1892,40.0743,51.8678,23.6031,25.3426,-1.4777,1298.6019,7.3946,7.3094,44.3998,237.7988,99.7829,80.1183
290.5906,40.2764,52.1173,23.6238,25.3677,-1.4902,1298.4885,7.3815,7.3077,44.3324,237.3032,99.7758,80.0128
291.992,40.2865,52.1318,23.6201,25.3778,-1.4643,1298.4937,7.401,7.3087,44.2932,237.2959,99.7744,79.9975
293.3934,40.487,52.3418,23.6659,25.3908,-1.4773,1298.3936,7.4169,7.3185,44.2386,236.8722,99.7644,79.9048
294.7948,40.937,52.9159,23.7462,25.4842,-1.4653,1298.0904,7.3829,7.3043,43.9678,235.7736,99.7778,79.6552
296.1962,41.0228,52.9955,23.7231,25.5232,-1.4732,1298.0588,7.3729,7.3036,43.9362,235.617,99.7569,79.6268
297.5976,41.3277,53.3785,23.7936,25.5691,-1.479,1297.9117,7.3816,7.2953,43.7693,234.8825,99.7718,79.4367
298.999,41.5585,53.6971,23.8336,25.616,-1.4814,1297.747,7.3755,7.3123,43.6199,234.2765,99.7611,79.3081
300.4004,41.5933,53.7229,23.8162,25.6062,-1.4783,1297.7285,7.384,7.3071,43.661,234.2808,99.7651,79.28
301.8018,41.5993,53.733,23.8418,25.6128,-1.467,1297.7473,7.3674,7.2915,43.64,234.2808,99.7514,79.3114
303.2032,41.6843,53.8689,23.8335,25.6387,-1.4769,1297.6612,7.3749,7.295,43.5688,233.992,99.751,79.2125
304.6046,42.4947,54.8385,23.9615,25.7846,-1.4831,1297.1883,7.3652,7.3057,43.1145,232.1555,99.7426,78.7323
306.006,42.9809,55.4534,24.0395,25.8803,-1.4751,1296.8863,7.36,7.2973,42.8637,230.9325,99.7681,78.4574
307.4074,42.9841,55.4488,24.0379,25.881,-1.4553,1296.894,7.3816,7.2978,42.8654,230.9555,99.7546,78.4623
308.8088,42.9839,55.4695,24.0303,25.8632,-1.4535,1296.8805,7.3557,7.2951,42.8637,230.9232,99.7524,78.4419
310.2102,42.9591,55.4569,24.0309,25.8996,-1.4744,1296.8969,7.3544,7.2825,42.851,230.936,99.7532,78.4575
311.6116,43.2561,55.8158,24.0962,25.9241,-1.4787,1296.7283,7.3789,7.2956,42.6887,230.2504,99.736,78.2896
313.013,43.7077,56.3736,24.1633,26.0241,-1.4614,1296.4473,7.3701,7.2707,42.4646,229.1595,99.7354,78.0163
314.4144,43.7321,56.3748,24.1551,26.0125,-1.4531,1296.4433,7.3528,7.2888,42.4665,229.1508,99.7436,77.9964
315.8158,43.7143,56.3787,24.1622,26.0046,-1.4685,1296.4535,7.3548,7.2753,42.4496,229.1481,99.7378,77.9919
317.2172,44.4365,57.2846,24.2643,26.1376,-1.4242,1295.9363,7.3543,7.2989,42.0294,227.2308,99.74,77.5377
318.6186,45.03,58.0334,24.3404,26.283,-1.4487,1295.607,7.3793,7.2936,41.7437,225.7634,99.7307,77.1707
320.02,45.1151,58.1725,24.3393,26.2801,-1.4392,1295.53,7.3557,7.2794,41.7037,225.5661,99.7404,77.1172
321.4214,45.4086,58.5276,24.4036,26.3379,-1.4213,1295.3469,7.3533,7.2767,41.5508,224.8125,99.7422,76.9595
322.8228,45.4077,58.5353,24.4041,26.3665,-1.4221,1295.3548,7.3606,7.2717,41.533,224.8261,99.7341,76.9513
324.2242,45.4111,58.5238,24.3949,26.345,-1.436,1295.3305,7.3542,7.2627,41.5527,224.8132,99.7284,76.9705
325.6256,45.7221,58.9091,24.4464,26.4208,-1.4451,1295.1834,7.3526,7.2874,41.4013,224.1546,99.7358,76.7593
327.027,45.7213,58.9165,24.4354,26.3961,-1.4164,1295.1891,7.3429,7.2851,41.4017,224.1509,99.7469,76.7804
328.4284,45.8374,59.0649,24.4644,26.4323,-1.423,1295.0934,7.3578,7.2804,41.3528,223.8822,99.7213,76.7127
329.8298,46.0211,59.2831,24.5121,26.4608,-1.4451,1294.9927,7.3514,7.2552,41.2576,223.4705,99.7174,76.6223
331.2312,46.3597,59.7054,24.5826,26.5075,-1.4111,1294.7967,7.3489,7.2671,41.1036,222.6997,99.7245,76.4235
332.6326,46.569,59.983,24.5866,26.5662,-1.4093,1294.6377,7.3518,7.276,40.993,222.1653,99.7362,76.3075
334.034,46.6618,60.0734,24.5865,26.5479,-1.4045,1294.603,7.336,7.2731,40.9611,221.9652,99.7131,76.2432
335.4354,46.6708,60.0717,24.5827,26.5622,-1.3958,1294.5886,7.3565,7.2636,40.9413,221.9342,99.7156,76.2427
336.8368,47.1752,60.6864,24.654,26.6596,-1.3849,1294.2681,7.3363,7.2669,40.7128,220.7135,99.7147,75.9495
338.2382,47.1948,60.7548,24.6812,26.665,-1.3964,1294.2453,7.3502,7.2871,40.6968,220.5624,99.7151,75.9128
339.6396,47.4562,61.0589,24.7187,26.7042,-1.3758,1294.0802,7.3499,7.2704,40.5718,219.9104,99.7181,75.7527
341.041,47.8675,61.5504,24.762,26.791,-1.372,1293.7917,7.354,7.2672,40.3816,218.8573,99.7336,75.5253
342.4424,47.9355,61.6374,24.776,26.8128,-1.3561,1293.7455,7.3295,7.2663,40.3229,218.6627,99.7026,75.4731
343.8438,48.0749,61.8234,24.79,26.8448,-1.3745,1293.6229,7.3308,7.2682,40.2636,218.2321,99.7077,75.3623
345.2452,48.131,61.9163,24.8197,26.8339,-1.365,1293.5894,7.3443,7.26,40.2268,218.0826,99.6979,75.3271
346.6466,48.4593,62.3293,24.8451,26.9101,-1.3585,1293.3422,7.3304,7.2692,40.0689,217.1017,99.6956,75.1148
348.048,48.5182,62.4083,24.8741,26.9201,-1.3611,1293.2979,7.3381,7.245,40.0598,216.9123,99.7021,75.0934
349.4494,48.5326,62.4191,24.8596,26.9167,-1.3485,1293.3086,7.3303,7.2622,40.0263,216.9076,99.7119,75.077
350.8509,48.6896,62.6124,24.8869,26.9429,-1.3327,1293.18,7.3279,7.2578,39.9394,216.4662,99.7165,74.9765
352.2523,49.2251,63.2144,24.9682,27.0337,-1.3344,1292.8551,7.3259,7.2757,39.7475,215.1562,99.7006,74.7209
353.6537,50.1584,64.2937,25.0996,27.2157,-1.2864,1292.209,7.3375,7.2503,39.3772,212.8651,99.6962,74.2153
355.0551,50.5432,64.7453,25.1762,27.272,-1.2783,1291.9609,7.331,7.2492,39.2218,211.8832,99.7043,73.9915
356.4565,50.6299,64.8559,25.1778,27.3021,-1.2622,1291.9075,7.3069,7.2506,39.1968,211.6805,99.6643,73.9672
357.8579,50.738,64.963,25.1841,27.3086,-1.2634,1291.8629,7.3258,7.2537,39.1623,211.5148,99.6752,73.8938
359.2593,50.7016,64.923,25.2039,27.2933,-1.2863,1291.8522,7.3017,7.2502,39.1425,211.5286,99.6803,73.9206
360.6607,50.7367,64.9393,25.2061,27.3072,-1.2834,1291.8568,7.3183,7.2518,39.1479,211.4913,99.6849,73.9161
362.0621,50.9076,65.2093,25.2271,27.3429,-1.275,1291.7723,7.3365,7.2368,39.0624,211.2871,99.6957,73.7784
363.4635,51.1055,65.4699,25.2529,27.3819,-1.2578,1291.762,7.3184,7.2507,39.0099,211.1445,99.6704,73.6606
364.8649,51.2255,65.6138,25.275,27.4088,-1.2709,1291.7426,7.3142,7.2356,38.9372,211.0247,99.6862,73.5728
366.2663,51.6563,66.2008,25.3368,27.5033,-1.2324,1291.6729,7.3159,7.2257,38.7593,210.7353,99.6844,73.3412
367.6677,51.8328,66.4323,25.3634,27.5404,-1.2334,1291.6192,7.3095,7.2331,38.6552,210.5879,99.6813,73.2297
369.0691,51.8855,66.4744,25.364,27.5251,-1.2391,1291.5947,7.3081,7.2362,38.6433,210.5424,99.692,73.196
370.4705,51.8744,66.484,25.3837,27.5147,-1.2257,1291.6149,7.314,7.2473,38.6404,210.5254,99.6804,73.1895
371.8719,51.9579,66.6027,25.384,27.5535,-1.2226,1291.5633,7.2976,7.2404,38.6219,210.3532,99.6896,73.1402
373.2733,51.9613,66.6064,25.3705,27.5483,-1.2205,1291.5521,7.3167,7.236,38.6067,210.3507,99.6794,73.1314
374.6747,52.0876,66.7884,25.3903,27.5839,-1.197,1291.4352,7.3047,7.2519,38.544,209.8696,99.6704,73.0301
376.0761,52.1668,66.9204,25.4183,27.6042,-1.2269,1291.3372,7.308,7.2397,38.4919,209.555,99.6687,72.9544
377.4775,52.5884,67.4758,25.4828,27.6767,-1.2031,1290.9363,7.3073,7.2324,38.2712,208.1097,99.6748,72.6354
378.8789,52.7157,67.6435,25.5046,27.7094,-1.2028,1290.8281,7.2887,7.2344,38.2079,207.6893,99.6793,72.533
380.2803,53.0745,68.113,25.5493,27.7798,-1.1592,1290.566,7.2917,7.2328,38.0313,206.6449,99.6588,72.3086
381.6817,53.2372,68.3515,25.5897,27.813,-1.1606,1290.4281,7.3168,7.2188,37.9782,206.1811,99.6406,72.1951
383.0831,53.396,68.4948,25.6058,27.8308,-1.1565,1290.3437,7.3082,7.2355,37.9477,205.8214,99.6679,72.1193
384.4845,53.9848,69.2494,25.6754,27.9428,-1.1425,1289.9488,7.2951,7.2253,37.691,204.3693,99.6515,71.7596
385.8859,54.1091,69.4114,25.7044,27.9605,-1.1244,1289.8755,7.3027,7.2349,37.6467,204.08,99.6572,71.7059
387.2873,54.2858,69.6367,25.7392,28.0017,-1.1049,1289.7296,7.2908,7.2087,37.5573,203.6484,99.6278,71.5944
388.6887,54.3335,69.661,25.7256,28.0144,-1.0973,1289.7036,7.282,7.242,37.5582,203.5388,99.6478,71.5682
390.0901,54.4385,69.7858,25.7675,28.018,-1.1106,1289.6559,7.3057,7.2197,37.5285,203.3278,99.6459,71.5072
391.4915,54.5257,69.9071,25.7399,28.0511,-1.1346,1289.5807,7.275,7.2237,37.4793,203.1068,99.6299,71.4739
392.8929,54.7823,70.2152,25.7988,28.0939,-1.1021,1289.4036,7.2972,7.2363,37.382,202.4912,99.6441,71.3092
394.2943,55.0451,70.534,25.8466,28.1429,-1.0948,1289.2456,7.2708,7.2163,37.3116,201.8431,99.6387,71.1726
