arterial_r,paodia,bgDO2,ecmoUnitFlow,paoavg,left flow,cvSys_O2sat,col,cor,paosys,cvSys_pO2
0.0,91.12,1304.32,21.14,107.25,2.82,85.94,4.36,4.36,143.35,51.55
0.12,91.12,1304.32,21.14,107.25,2.82,85.94,4.36,4.36,143.35,51.55
0.24,91.12,1304.32,21.14,107.25,2.82,85.94,4.36,4.36,143.35,51.55
0.36,91.1,1303.86,21.11,107.23,2.82,85.94,4.36,4.36,143.33,51.55
0.48,91.1,1303.86,21.11,107.23,2.82,85.94,4.36,4.36,143.33,51.55
0.6,91.09,1303.63,21.1,107.21,2.82,85.94,4.36,4.36,143.32,51.54
0.72,91.09,1303.63,21.1,107.21,2.82,85.94,4.36,4.36,143.32,51.54
0.84,91.04,1303.15,21.07,107.17,2.81,85.9,4.36,4.36,143.28,51.49
0.96,91.04,1303.15,21.07,107.17,2.81,85.9,4.36,4.36,143.28,51.49
1.08,91.03,1302.82,21.06,107.15,2.81,85.89,4.36,4.36,143.27,51.47
1.2,91.03,1302.82,21.06,107.15,2.81,85.89,4.36,4.36,143.27,51.47
1.32,91.02,1302.13,21.03,107.13,2.8,85.89,4.36,4.36,143.26,51.47
1.44,91.02,1302.13,21.03,107.13,2.8,85.89,4.36,4.36,143.26,51.47
1.56,91.01,1301.7,21.01,107.11,2.8,85.89,4.36,4.36,143.24,51.46
1.68,91.01,1301.7,21.01,107.11,2.8,85.89,4.36,4.36,143.24,51.46
1.8,90.98,1301.18,20.98,107.08,2.8,85.89,4.36,4.36,143.22,51.46
1.92,90.98,1301.18,20.98,107.08,2.8,85.89,4.36,4.36,143.22,51.46
2.04,90.96,1300.9,20.97,107.06,2.8,85.89,4.36,4.36,143.2,51.46
2.16,90.96,1300.9,20.97,107.06,2.8,85.89,4.36,4.36,143.2,51.46
2.28,90.92,1300.39,20.94,107.02,2.79,85.89,4.36,4.36,143.17,51.46
2.4,90.92,1300.39,20.94,107.02,2.79,85.89,4.36,4.36,143.17,51.46
2.53,90.87,1299.93,20.92,106.98,2.79,85.87,4.36,4.36,143.13,51.44
2.65,90.87,1299.93,20.92,106.98,2.79,85.87,4.36,4.36,143.13,51.44
2.77,90.8,1299.44,20.89,106.92,2.78,85.84,4.37,4.37,143.08,51.39
2.89,90.8,1299.44,20.89,106.92,2.78,85.84,4.37,4.37,143.08,51.39
3.01,90.77,1299.12,20.87,106.89,2.78,85.83,4.37,4.37,143.05,51.38
3.13,90.77,1299.12,20.87,106.89,2.78,85.83,4.37,4.37,143.05,51.38
3.25,90.77,1299.12,20.87,106.89,2.78,85.83,4.37,4.37,143.05,51.38
3.37,90.72,1298.59,20.84,106.85,2.78,85.83,4.37,4.37,143.01,51.37
3.49,90.72,1298.59,20.84,106.85,2.78,85.83,4.37,4.37,143.01,51.37
3.61,90.68,1298.15,20.81,106.81,2.78,85.82,4.37,4.37,142.98,51.36
3.73,90.68,1298.15,20.81,106.81,2.78,85.82,4.37,4.37,142.98,51.36
3.85,90.64,1297.64,20.79,106.77,2.77,85.82,4.37,4.37,142.95,51.36
3.97,90.64,1297.64,20.79,106.77,2.77,85.82,4.37,4.37,142.95,51.36
4.09,90.61,1297.25,20.76,106.75,2.77,85.81,4.37,4.37,142.92,51.35
4.21,90.61,1297.25,20.76,106.75,2.77,85.81,4.37,4.37,142.92,51.35
4.33,90.56,1296.54,20.73,106.7,2.76,85.8,4.37,4.37,142.89,51.32
4.45,90.56,1296.54,20.73,106.7,2.76,85.8,4.37,4.37,142.89,51.32
4.57,90.55,1296.34,20.72,106.69,2.76,85.79,4.37,4.37,142.87,51.31
4.69,90.55,1296.34,20.72,106.69,2.76,85.79,4.37,4.37,142.87,51.31
4.81,90.5,1295.65,20.69,106.65,2.76,85.77,4.37,4.37,142.84,51.28
4.93,90.5,1295.65,20.69,106.65,2.76,85.77,4.37,4.37,142.84,51.28
5.05,90.46,1294.94,20.66,106.6,2.76,85.74,4.37,4.37,142.8,51.24
5.17,90.46,1294.94,20.66,106.6,2.76,85.74,4.37,4.37,142.8,51.24
5.29,90.41,1294.21,20.63,106.56,2.75,85.71,4.37,4.37,142.77,51.2
5.41,90.41,1294.21,20.63,106.56,2.75,85.71,4.37,4.37,142.77,51.2
5.53,90.38,1293.73,20.61,106.53,2.75,85.7,4.38,4.38,142.74,51.18
5.65,90.38,1293.73,20.61,106.53,2.75,85.7,4.38,4.38,142.74,51.18
5.77,90.32,1292.86,20.57,106.48,2.74,85.69,4.38,4.38,142.7,51.17
5.89,90.32,1292.86,20.57,106.48,2.74,85.69,4.38,4.38,142.7,51.17
6.01,90.3,1292.54,20.55,106.46,2.74,85.68,4.38,4.38,142.68,51.15
6.13,90.3,1292.54,20.55,106.46,2.74,85.68,4.38,4.38,142.68,51.15
6.25,90.25,1291.97,20.52,106.41,2.73,85.66,4.38,4.38,142.64,51.12
6.37,90.25,1291.97,20.52,106.41,2.73,85.66,4.38,4.38,142.64,51.12
6.49,90.25,1291.97,20.52,106.41,2.73,85.66,4.38,4.38,142.64,51.12
6.61,90.21,1291.59,20.49,106.38,2.73,85.66,4.38,4.38,142.61,51.11
6.73,90.21,1291.59,20.49,106.38,2.73,85.66,4.38,4.38,142.61,51.11
6.85,90.18,1291.17,20.47,106.34,2.73,85.68,4.38,4.38,142.58,51.15
6.97,90.18,1291.17,20.47,106.34,2.73,85.68,4.38,4.38,142.58,51.15
7.09,90.15,1290.84,20.45,106.32,2.73,85.68,4.38,4.38,142.56,51.14
7.21,90.15,1290.84,20.45,106.32,2.73,85.68,4.38,4.38,142.56,51.14
7.33,90.11,1290.21,20.42,106.28,2.72,85.65,4.38,4.38,142.53,51.1
7.45,90.11,1290.21,20.42,106.28,2.72,85.65,4.38,4.38,142.53,51.1
7.58,90.07,1289.72,20.39,106.25,2.72,85.64,4.38,4.38,142.5,51.08
7.7,90.07,1289.72,20.39,106.25,2.72,85.64,4.38,4.38,142.5,51.08
7.82,90.03,1289.11,20.36,106.21,2.71,85.63,4.38,4.38,142.47,51.07
7.94,90.03,1289.11,20.36,106.21,2.71,85.63,4.38,4.38,142.47,51.07
8.06,89.98,1288.43,20.33,106.16,2.71,85.61,4.39,4.39,142.43,51.05
8.18,89.98,1288.43,20.33,106.16,2.71,85.61,4.39,4.39,142.43,51.05
8.3,89.93,1287.68,20.3,106.12,2.7,85.58,4.39,4.39,142.39,51.0
8.42,89.93,1287.68,20.3,106.12,2.7,85.58,4.39,4.39,142.39,51.0
8.54,89.89,1287.18,20.27,106.09,2.7,85.57,4.39,4.39,142.36,50.99
8.66,89.89,1287.18,20.27,106.09,2.7,85.57,4.39,4.39,142.36,50.99
8.78,89.85,1286.61,20.24,106.05,2.7,85.57,4.39,4.39,142.33,50.98
8.9,89.85,1286.61,20.24,106.05,2.7,85.57,4.39,4.39,142.33,50.98
9.02,89.81,1286.11,20.22,106.01,2.7,85.56,4.39,4.39,142.3,50.97
9.14,89.81,1286.11,20.22,106.01,2.7,85.56,4.39,4.39,142.3,50.97
9.26,89.76,1285.46,20.18,105.97,2.69,85.56,4.39,4.39,142.26,50.97
9.38,89.76,1285.46,20.18,105.97,2.69,85.56,4.39,4.39,142.26,50.97
9.5,89.76,1285.46,20.18,105.97,2.69,85.56,4.39,4.39,142.26,50.97
9.62,89.71,1284.72,20.15,105.92,2.69,85.55,4.39,4.39,142.22,50.96
9.74,89.71,1284.72,20.15,105.92,2.69,85.55,4.39,4.39,142.22,50.96
9.86,89.68,1283.99,20.12,105.89,2.68,85.53,4.39,4.39,142.19,50.93
9.98,89.68,1283.99,20.12,105.89,2.68,85.53,4.39,4.39,142.19,50.93
10.1,89.66,1283.78,20.11,105.87,2.68,85.53,4.39,4.39,142.18,50.92
10.22,89.66,1283.78,20.11,105.87,2.68,85.53,4.39,4.39,142.18,50.92
10.34,89.6,1283.15,20.06,105.82,2.67,85.53,4.39,4.4,142.13,50.93
10.46,89.6,1283.15,20.06,105.82,2.67,85.53,4.39,4.4,142.13,50.93
10.58,89.59,1283.03,20.06,105.81,2.67,85.53,4.4,4.4,142.12,50.93
10.7,89.59,1283.03,20.06,105.81,2.67,85.53,4.4,4.4,142.12,50.93
10.82,89.53,1282.26,20.02,105.76,2.67,85.51,4.4,4.4,142.08,50.89
10.94,89.53,1282.26,20.02,105.76,2.67,85.51,4.4,4.4,142.08,50.89
11.06,89.48,1281.71,19.99,105.71,2.67,85.48,4.4,4.4,142.04,50.86
11.18,89.48,1281.71,19.99,105.71,2.67,85.48,4.4,4.4,142.04,50.86
11.3,89.43,1281.14,19.96,105.67,2.66,85.45,4.4,4.4,142.0,50.81
11.42,89.43,1281.14,19.96,105.67,2.66,85.45,4.4,4.4,142.0,50.81
11.54,89.39,1280.76,19.94,105.64,2.66,85.44,4.4,4.4,141.97,50.79
11.66,89.39,1280.76,19.94,105.64,2.66,85.44,4.4,4.4,141.97,50.79
11.78,89.34,1280.24,19.9,105.59,2.65,85.43,4.4,4.4,141.93,50.78
11.9,89.34,1280.24,19.9,105.59,2.65,85.43,4.4,4.4,141.93,50.78
12.02,89.3,1279.72,19.87,105.55,2.65,85.43,4.4,4.4,141.9,50.78
12.14,89.3,1279.72,19.87,105.55,2.65,85.43,4.4,4.4,141.9,50.78
12.26,89.25,1279.08,19.84,105.51,2.64,85.43,4.4,4.4,141.86,50.78
12.38,89.25,1279.08,19.84,105.51,2.64,85.43,4.4,4.4,141.86,50.78
12.51,89.24,1278.81,19.83,105.49,2.64,85.43,4.4,4.4,141.85,50.78
12.63,89.24,1278.81,19.83,105.49,2.64,85.43,4.4,4.4,141.85,50.78
12.75,89.24,1278.81,19.83,105.49,2.64,85.43,4.4,4.4,141.85,50.78
12.87,89.2,1278.09,19.79,105.45,2.64,85.42,4.4,4.41,141.81,50.77
12.99,89.2,1278.09,19.79,105.45,2.64,85.42,4.4,4.41,141.81,50.77
13.11,89.16,1277.55,19.77,105.41,2.64,85.41,4.41,4.41,141.78,50.75
13.23,89.16,1277.55,19.77,105.41,2.64,85.41,4.41,4.41,141.78,50.75
13.35,89.12,1276.86,19.74,105.37,2.63,85.39,4.41,4.41,141.74,50.72
13.47,89.12,1276.86,19.74,105.37,2.63,85.39,4.41,4.41,141.74,50.72
13.59,89.06,1276.1,19.7,105.32,2.63,85.37,4.41,4.41,141.7,50.69
13.71,89.06,1276.1,19.7,105.32,2.63,85.37,4.41,4.41,141.7,50.69
