venous_r,caSys_O2sat,cvSys_O2sat,pcv,paosys,bgDO2,cvSys_pO2,paoavg,left flow,ecmoUnitFlow,ecmop2
0.0,99.66,83.96,4.98,143.52,1292.12,48.81,107.36,2.82,21.16,175.83
1.2,99.83,85.87,5.02,143.26,1302.34,51.43,107.15,2.81,21.06,175.04
2.4,99.83,85.85,5.02,143.13,1300.23,51.39,106.99,2.79,20.94,174.18
3.61,99.82,85.81,5.02,143.0,1297.83,51.34,106.83,2.78,20.82,173.38
4.81,99.82,85.76,5.02,142.83,1295.14,51.27,106.64,2.76,20.67,172.41
6.01,99.82,85.74,5.02,142.69,1292.6,51.24,106.46,2.74,20.54,171.5
7.21,99.82,85.68,5.02,142.57,1290.37,51.14,106.32,2.73,20.44,170.79
8.42,99.82,85.59,5.02,142.41,1288.25,51.02,106.14,2.7,20.32,169.87
9.62,99.82,85.56,5.02,142.24,1285.15,50.98,105.94,2.69,20.15,168.8
10.82,99.81,85.52,5.02,142.07,1282.54,50.91,105.75,2.67,20.02,167.9
12.02,99.81,85.48,5.02,141.91,1279.42,50.85,105.56,2.65,19.87,166.91
13.23,99.81,85.43,5.02,141.79,1277.39,50.78,105.42,2.64,19.77,166.23
14.43,99.8,85.36,5.02,141.61,1274.52,50.67,105.22,2.62,19.62,165.26
15.63,99.81,85.3,5.02,141.49,1272.34,50.59,105.07,2.6,19.5,164.45
16.83,99.8,85.23,5.02,141.3,1269.45,50.49,104.86,2.58,19.35,163.46
18.04,99.8,85.23,5.02,141.17,1267.18,50.49,104.71,2.56,19.23,162.68
19.24,99.8,85.17,5.02,141.04,1264.78,50.4,104.56,2.55,19.11,161.91
20.44,99.79,85.11,5.02,140.9,1262.22,50.32,104.39,2.53,18.99,161.09
21.64,99.8,85.09,5.02,140.75,1260.09,50.29,104.22,2.52,18.86,160.26
22.85,99.79,85.02,5.02,140.59,1257.15,50.2,104.05,2.5,18.73,159.39
24.05,99.79,84.95,5.02,140.45,1255.24,50.11,103.89,2.48,18.61,158.65
25.25,99.78,84.94,5.02,140.3,1252.38,50.09,103.71,2.46,18.48,157.85
26.45,99.79,84.88,5.02,140.19,1250.79,50.01,103.59,2.45,18.39,157.22
27.66,99.79,84.87,5.03,140.07,1248.36,49.99,103.44,2.44,18.26,156.44
28.86,99.78,84.81,5.03,139.9,1246.17,49.9,103.26,2.42,18.14,155.68
30.06,99.78,84.74,5.03,139.76,1243.75,49.81,103.09,2.41,18.03,154.93
31.26,99.77,84.67,5.03,139.63,1241.18,49.71,102.94,2.39,17.91,154.15
32.46,99.77,84.67,5.03,139.52,1239.65,49.71,102.81,2.37,17.81,153.59
33.67,99.77,84.61,5.03,139.4,1237.27,49.62,102.68,2.36,17.71,152.98
34.87,99.77,84.6,5.03,139.25,1235.27,49.6,102.51,2.34,17.59,152.16
36.07,99.76,84.51,5.03,139.11,1232.68,49.48,102.36,2.33,17.47,151.44
37.27,99.77,84.45,5.03,139.0,1230.98,49.41,102.22,2.31,17.37,150.81
38.48,99.76,84.44,5.03,138.88,1229.14,49.39,102.08,2.3,17.27,150.23
39.68,99.76,84.37,5.03,138.76,1227.12,49.3,101.94,2.29,17.17,149.58
40.88,99.76,84.31,5.03,138.63,1224.83,49.22,101.79,2.27,17.06,148.95
42.08,99.76,84.31,5.03,138.53,1223.19,49.22,101.68,2.26,16.96,148.34
43.29,99.75,84.25,5.03,138.37,1220.97,49.14,101.51,2.25,16.85,147.62
44.49,99.75,84.22,5.03,138.28,1219.18,49.11,101.39,2.23,16.77,147.13
45.69,99.74,84.16,5.03,138.17,1217.02,49.02,101.28,2.22,16.67,146.56
46.89,99.75,84.15,5.03,138.04,1215.26,49.01,101.12,2.21,16.56,145.87
48.1,99.74,84.08,5.03,137.93,1213.16,48.93,100.99,2.2,16.46,145.35
49.3,99.74,84.07,5.03,137.81,1211.28,48.92,100.86,2.18,16.36,144.73
50.5,99.74,84.01,5.03,137.7,1209.39,48.83,100.74,2.17,16.27,144.18
